"Autoridad Para el Manejo Sustentable de la Cuenca del Lago Atitlan y su Entorno (AMSCLAE)"
"Departamento de Investigacion y Calidad Ambiental (DICA)"
"Estacion Climatica de"
Barreneche
2011
"  "
Mes,"Temp. Min. Abs. (°C)","Temp. Prom (°C)","Temp. Max Abs. (°C)","Hum. (%)","Precipitacion (mm)","Rad. Solar (W/m2)","Rad. Solar Max Abs.(W/m2)","Indice UV (Unidad)","Indice UV Max Abs. (Unidad)","Direccion Viento Max","Velocidad Viento Max. (km/h)"
2011-12-01,10.40,13.09,16.50,84.00,0.00,92.44,828.00,0.49,5.30,NNW,8.45
2011-12-02,5.00,12.38,19.70,68.88,0.00,240.67,858.00,1.90,9.00,NNW,11.46
2011-12-03,5.00,10.70,17.30,60.62,0.00,244.29,868.00,1.92,9.20,N,25.48
2011-12-04,3.90,10.32,17.70,57.58,0.00,243.50,856.00,1.86,8.80,NNW,15.46
2011-12-05,6.40,12.01,18.60,70.62,0.00,235.83,860.00,1.90,9.10,ESE,19.07
2011-12-06,6.60,13.19,18.90,64.54,0.00,241.92,856.00,1.92,9.00,N,27.80
2011-12-07,9.90,12.82,16.00,73.46,0.00,225.62,875.00,1.96,9.80,N,64.54
2011-12-08,10.60,13.00,17.50,76.50,0.00,243.21,937.00,2.13,10.20,N,52.29
2011-12-09,10.20,13.37,18.10,69.71,0.00,240.75,875.00,2.01,9.50,NNW,36.60
2011-12-10,9.70,12.38,16.40,75.29,0.00,242.79,863.00,2.10,9.70,NNW,40.12
2011-12-11,9.70,13.79,18.60,66.79,0.00,232.50,886.00,2.00,9.80,NNW,31.30
2011-12-12,6.40,12.23,17.70,71.54,0.00,238.67,884.00,2.02,9.60,N,31.59
2011-12-13,10.50,12.62,15.70,69.75,0.00,240.62,949.00,2.06,9.80,N,59.55
2011-12-14,10.00,13.87,18.60,66.92,0.00,242.75,877.00,1.96,9.20,N,39.77
2011-12-15,9.10,13.32,17.80,70.83,0.00,196.38,923.00,1.57,8.60,NE,26.27
2011-12-16,8.80,13.45,18.70,76.62,0.20,214.12,1118.00,1.71,10.20,NNW,17.71
2011-12-17,10.30,13.04,16.70,70.33,0.20,213.08,928.00,1.85,9.60,NW,44.66
2011-12-18,10.30,12.55,16.30,71.88,0.00,240.38,858.00,2.09,9.90,N,53.64
2011-12-19,7.60,12.68,18.00,74.29,0.60,192.08,1056.00,1.72,10.00,ESE,19.30
2011-12-20,7.90,12.26,17.20,83.00,0.00,243.38,953.00,2.01,9.90,NNW,12.15
2011-12-21,8.60,13.42,20.40,74.38,0.00,233.04,882.00,2.06,9.90,N,17.72
2011-12-22,8.30,12.75,18.10,68.50,0.00,235.75,835.00,1.98,9.50,ESE,21.51
2011-12-23,8.90,14.51,18.20,56.17,0.00,190.00,1021.00,1.70,10.00,N,38.24
2011-12-24,12.10,14.36,18.00,72.71,0.00,230.67,882.00,1.97,9.50,N,43.77
2011-12-25,10.90,13.67,17.80,71.42,0.00,237.96,844.00,1.96,9.20,NNW,47.00
2011-12-26,11.10,13.47,18.70,72.79,0.00,237.54,844.00,2.04,9.60,N,45.24
2011-12-27,10.10,14.39,18.70,71.21,0.00,235.62,847.00,1.95,9.20,N,30.94
2011-12-28,10.90,13.47,18.00,70.67,0.00,227.62,853.00,1.90,9.10,NNW,39.22
2011-12-29,7.10,12.28,18.90,68.75,0.00,232.38,844.00,1.80,8.80,NNW,16.59
2011-12-30,7.40,12.80,18.90,64.88,0.00,243.50,842.00,1.85,8.80,ESE,22.06
2011-12-31,8.40,12.98,17.40,68.08,0.00,209.88,1100.00,1.77,10.70,N,34.24
