Día,"Temp. Min. Abs. (°C)","Temp. Prom (°C)","Temp. Max Abs. (°C)","Hum. (%)","Precipitacion (mm)","Rad. Solar (W/m2)","Rad. Solar Max Abs.(W/m2)","Indice UV (Unidad)","Indice UV Max Abs. (Unidad)","Direccion Viento Max","Velocidad Viento Max. (km/h)"
2012-01-01,11.30,13.76,17.90,73.92,0.00,219.21,1034.00,1.79,9.40,N,48.51
2012-01-02,9.50,12.70,16.20,82.62,1.20,236.04,1090.00,2.11,11.50,N,65.25
2012-01-03,8.60,10.10,12.50,77.00,0.00,243.17,868.00,2.17,10.10,N,76.35
2012-01-04,5.90,11.42,18.00,69.46,0.00,226.79,1106.00,1.92,9.50,N,28.78
2012-01-05,7.20,11.81,18.10,65.46,0.00,233.08,881.00,1.91,9.30,N,22.53
2012-01-06,5.50,11.52,17.60,68.33,0.00,226.21,860.00,1.93,9.40,NNW,13.57
2012-01-07,7.80,12.60,18.10,67.62,0.00,217.92,895.00,1.82,9.00,NNW,15.21
2012-01-08,8.30,13.32,19.60,68.25,0.00,243.67,846.00,1.95,9.30,NW,15.87
2012-01-09,8.40,12.74,18.00,81.46,0.00,245.88,977.00,1.90,9.40,NNW,13.43
2012-01-10,7.70,13.39,20.30,76.42,0.00,251.17,1000.00,1.92,9.60,NNW,15.58
2012-01-11,8.00,12.65,19.10,78.04,0.00,190.62,1104.00,1.54,10.10,NNW,12.26
2012-01-12,7.90,12.40,19.80,79.83,0.00,239.62,956.00,1.78,8.90,NNW,13.09
2012-01-13,9.20,13.47,18.70,69.50,0.00,240.88,861.00,1.91,9.10,NNW,35.87
2012-01-14,11.10,13.30,16.20,74.04,0.00,179.33,1018.00,1.57,9.80,NNW,47.16
2012-01-15,10.20,12.55,16.10,72.38,0.00,246.00,896.00,2.18,10.30,N,58.88
2012-01-16,10.70,13.20,16.80,74.50,0.00,247.58,1048.00,2.17,11.20,N,46.55
2012-01-17,10.00,14.18,19.60,66.62,0.00,243.08,1016.00,2.07,10.00,NNW,24.11
2012-01-18,7.80,13.52,19.60,61.96,0.00,247.42,891.00,2.06,9.70,N,27.38
2012-01-19,6.90,13.38,18.10,58.88,0.00,253.71,896.00,1.97,9.30,NNW,33.10
2012-01-20,6.10,11.60,18.20,64.38,0.00,254.79,902.00,1.88,9.10,NNW,13.43
2012-01-21,6.40,11.43,17.60,71.79,0.00,254.88,933.00,1.89,9.10,ESE,22.27
2012-01-22,7.10,11.77,17.50,74.54,0.00,239.75,1121.00,1.83,10.00,NNW,14.66
2012-01-23,7.50,11.70,16.80,78.54,0.00,170.08,1169.00,1.35,9.40,NNW,13.86
2012-01-24,6.90,11.44,16.90,80.42,0.00,166.75,1155.00,1.35,9.30,NNW,13.08
2012-01-25,7.70,11.67,16.80,79.96,0.00,232.04,1060.00,1.82,9.50,NNW,13.92
2012-01-26,7.00,12.23,18.00,82.17,0.00,230.71,1046.00,1.80,9.80,NNW,13.30
2012-01-27,10.20,12.64,15.50,77.67,0.00,153.62,1055.00,1.39,10.20,NNW,37.46
2012-01-28,9.70,13.79,19.30,64.83,0.00,252.21,1137.00,2.00,11.00,N,31.74
2012-01-29,10.20,12.78,16.80,78.67,1.00,250.79,1127.00,2.15,11.40,N,56.75
