"Autoridad Para el Manejo Sustentable de la Cuenca del Lago Atitlan y su Entorno (AMSCLAE)"
"Departamento de Investigacion y Calidad Ambiental (DICA)"
"Estacion Climatica de"
Barreneche
2018
"  "
Mes,"Temp. Min. Abs. (°C)","Temp. Prom (°C)","Temp. Max Abs. (°C)","Hum. (%)","Precipitacion (mm)","Rad. Solar (W/m2)","Rad. Solar Max Abs.(W/m2)","Indice UV (Unidad)","Indice UV Max Abs. (Unidad)","Direccion Viento Max","Velocidad Viento Max. (km/h)"
2018-01-01,9.70,13.70,18.20,62.38,0.00,193.83,939.00,1.10,7.20,ENE,37.46
2018-01-02,10.30,12.55,15.60,77.17,0.00,158.83,933.00,1.00,8.20,NNE,45.94
2018-01-03,8.30,12.18,16.70,78.50,0.00,205.00,1086.00,1.20,7.80,NNE,27.76
2018-01-04,9.20,11.85,17.20,75.42,0.00,183.92,962.00,1.05,6.50,NNE,42.12
2018-01-05,6.50,11.62,17.60,79.42,0.00,195.58,888.00,1.05,6.30,NNE,12.17
2018-01-06,6.10,11.52,18.20,60.58,0.00,230.75,816.00,1.19,6.40,NNE,30.06
2018-01-07,6.10,12.05,17.60,53.96,0.00,232.92,817.00,1.15,6.40,NNE,22.53
2018-01-08,7.30,12.32,18.10,56.92,0.00,228.50,810.00,1.12,6.30,NNE,17.50
2018-01-09,7.20,12.24,18.30,64.96,0.00,222.04,803.00,1.03,5.80,N,15.74
2018-01-10,6.70,11.04,16.70,73.29,0.00,188.62,821.00,0.92,5.60,N,14.31
2018-01-11,5.30,10.93,16.80,71.79,0.00,222.83,803.00,1.08,6.10,SSE,19.30
2018-01-12,7.30,12.47,17.40,57.25,0.00,232.79,817.00,1.20,6.40,NNE,51.38
2018-01-13,7.20,11.32,16.80,71.67,0.00,218.83,851.00,1.18,6.40,ENE,35.64
2018-01-14,5.70,10.07,16.50,67.83,0.00,230.67,821.00,1.27,6.50,NNE,36.11
2018-01-15,5.60,11.93,17.70,59.42,0.00,223.25,810.00,1.19,6.50,ENE,26.02
2018-01-16,8.30,12.39,17.90,69.62,0.00,146.00,1058.00,0.76,6.80,NNE,22.09
2018-01-17,9.40,11.30,16.50,77.12,0.00,185.67,1025.00,1.24,8.00,NNE,43.04
2018-01-18,9.90,11.40,13.80,73.62,0.00,189.62,958.00,1.30,8.30,NNE,53.51
2018-01-19,9.80,12.07,16.00,78.54,0.00,206.75,867.00,1.39,7.90,NNE,46.38
2018-01-20,8.20,13.09,19.10,76.62,0.00,170.38,944.00,0.97,7.00,NNE,20.32
2018-01-21,8.90,14.37,20.80,76.29,0.00,233.04,837.00,1.28,7.00,NNE,15.76
2018-01-22,8.90,14.28,21.00,72.29,0.00,234.08,986.00,1.22,7.30,ENE,35.41
2018-01-23,9.80,13.28,16.40,70.17,0.00,146.75,1071.00,0.92,8.60,NNE,40.83
2018-01-24,10.70,12.82,16.40,77.50,0.00,243.67,976.00,1.50,8.50,NNE,51.07
2018-01-25,10.10,12.14,15.50,80.12,0.00,181.29,1013.00,1.25,8.50,NNE,54.85
2018-01-26,10.70,12.57,16.00,80.71,0.00,245.21,923.00,1.58,8.20,NNE,46.92
2018-01-27,9.10,13.08,17.20,77.04,0.00,176.83,1074.00,1.23,8.80,NNE,37.76
2018-01-28,7.80,13.45,18.60,71.92,0.00,246.71,853.00,1.52,7.90,ENE,33.80
2018-01-29,11.50,13.32,16.80,81.88,1.60,210.38,991.00,1.52,9.10,NNE,59.66
2018-01-30,10.60,11.84,14.40,81.92,0.00,258.17,923.00,1.77,9.00,NNE,76.14
2018-01-31,10.70,12.97,15.60,77.08,0.00,250.25,868.00,1.70,8.60,NNE,59.46
2018-02-01,7.80,14.08,21.10,68.21,0.00,238.71,856.00,1.31,6.70,ENE,23.87
2018-02-02,10.30,14.60,19.20,61.38,0.60,257.00,898.00,1.50,7.90,ENE,54.11
2018-02-03,11.50,14.10,18.50,74.88,0.60,253.46,886.00,1.65,8.60,ENE,40.69
2018-02-04,8.40,14.25,20.90,54.29,0.00,253.04,881.00,1.50,7.80,NNE,18.59
2018-02-05,6.20,13.49,19.70,49.54,0.00,257.38,888.00,1.55,8.10,NNE,20.12
2018-02-06,8.10,14.09,18.80,61.26,0.00,284.32,888.00,1.54,8.40,NNE,25.50
2018-02-07,6.30,13.07,19.10,58.62,0.00,259.21,888.00,1.52,8.00,NNE,20.22
2018-02-08,10.40,13.68,18.20,73.17,0.20,241.92,1062.00,1.64,9.40,NNE,33.37
2018-02-09,8.50,13.23,18.20,70.21,0.00,251.46,988.00,1.68,8.70,NNE,44.24
2018-02-10,7.60,12.27,18.60,75.29,0.00,184.25,1178.00,1.14,8.70,NNE,15.21
2018-02-11,8.90,12.92,18.10,84.25,0.00,200.12,1109.00,1.19,8.50,NNE,12.90
2018-02-12,11.40,14.05,17.70,73.12,0.00,207.92,1201.00,1.35,9.80,ENE,48.46
2018-02-13,10.40,12.68,15.30,81.25,0.40,188.83,1220.00,1.27,10.60,NNE,56.00
2018-02-14,9.20,12.06,15.80,75.62,0.40,231.50,970.00,1.65,9.50,NNE,59.11
2018-02-15,9.40,12.33,16.70,68.92,0.00,252.12,1174.00,1.58,10.30,NNE,50.88
2018-02-16,9.90,13.43,18.10,56.58,0.00,270.88,918.00,1.76,8.70,NNE,51.94
2018-02-17,7.20,12.26,17.80,66.62,0.00,261.38,1044.00,1.62,9.10,NNE,27.09
2018-02-18,8.50,13.34,18.20,68.21,0.00,236.50,1123.00,1.60,9.80,NNE,20.01
2018-02-19,7.30,11.92,18.20,77.29,0.00,158.50,1220.00,1.05,9.80,SSE,20.38
2018-02-20,7.70,12.68,18.40,83.17,0.00,158.71,1137.00,0.98,8.40,SSE,18.76
2018-02-21,8.20,13.75,19.10,73.42,0.00,249.92,1004.00,1.74,9.60,N,13.69
2018-02-22,8.20,13.52,19.40,66.42,0.00,267.12,925.00,1.74,8.90,ENE,32.66
2018-02-23,8.60,13.35,18.40,62.46,0.00,269.58,1000.00,1.76,9.20,N,20.69
2018-02-24,8.70,12.29,17.30,80.50,0.00,125.96,870.00,0.83,11.00,SSE,21.51
2018-02-25,7.50,11.92,17.90,80.79,0.00,165.00,1153.00,1.11,9.60,NNE,13.50
2018-02-26,6.70,12.30,18.90,70.88,0.00,272.88,926.00,1.75,9.00,NNE,20.72
2018-02-27,5.10,12.75,19.30,59.67,0.00,273.88,933.00,1.82,9.10,ENE,34.88
2018-02-28,5.40,11.12,17.20,60.38,0.00,261.38,919.00,1.63,8.50,SSE,24.56
2018-03-01,5.30,12.00,17.50,66.54,0.00,265.38,912.00,1.67,8.60,N,16.37
2018-03-02,6.20,12.90,19.10,68.29,0.00,270.42,926.00,1.75,8.80,NNE,26.56
2018-03-03,10.60,13.80,18.40,66.00,0.00,275.42,930.00,1.79,8.90,ENE,46.34
2018-03-04,8.70,14.18,19.70,52.92,0.00,276.38,935.00,1.83,9.10,ENE,29.44
