"Autoridad Para el Manejo Sustentable de la Cuenca del Lago Atitlan y su Entorno (AMSCLAE)"
"Departamento de Investigacion y Calidad Ambiental (DICA)"
"Estacion Climatica de"
"El Tablon"
2019
"  "
Mes,"Temp. Min. Abs. (°C)","Temp. Prom (°C)","Temp. Max Abs. (°C)","Hum. (%)","Precipitacion (mm)","Rad. Solar (W/m2)","Rad. Solar Max Abs.(W/m2)","Indice UV (Unidad)","Indice UV Max Abs. (Unidad)","Direccion Viento Max","Velocidad Viento Max. (km/h)"
2019-06-14,13.70,14.10,16.70,93.00,4.80,9.86,84.00,0.00,0.00,,0.00
2019-06-15,12.10,15.78,21.10,87.12,3.80,257.92,1313.00,2.13,11.60,,0.00
2019-06-16,12.00,15.72,21.10,88.92,1.60,202.58,1253.00,1.63,10.90,,0.00
2019-06-17,12.10,16.86,22.60,84.29,0.00,314.08,1281.00,2.28,11.50,NE,12.88
2019-06-18,12.70,17.31,22.00,81.25,0.00,309.62,1238.00,2.17,10.20,N,16.90
2019-06-19,13.40,17.38,22.80,84.58,0.00,255.75,1252.00,1.99,11.00,N,13.13
2019-06-20,13.10,16.82,21.10,83.50,1.40,178.79,1215.00,1.27,10.60,N,14.75
2019-06-21,13.30,16.34,20.90,85.96,21.80,196.17,1255.00,1.54,12.10,NNE,11.80
2019-06-22,13.30,15.38,21.00,86.83,18.40,122.88,1306.00,1.21,12.30,,0.00
2019-06-23,12.20,15.25,19.80,89.42,7.20,166.29,1281.00,1.45,11.80,,0.00
2019-06-24,11.90,15.31,19.80,81.71,0.40,280.96,1111.00,2.00,9.80,E,7.72
2019-06-25,10.30,15.68,22.10,83.71,1.80,261.71,1227.00,2.01,11.20,N,13.18
2019-06-26,12.80,16.51,21.30,77.58,0.20,287.33,1234.00,2.11,11.40,E,24.10
2019-06-27,12.40,15.11,19.10,78.92,0.20,304.62,1151.00,2.42,11.60,NE,29.62
2019-06-28,11.80,14.57,18.80,79.46,0.00,286.96,988.00,2.32,10.50,NNE,35.86
2019-06-29,11.00,14.38,19.80,78.42,0.00,257.17,1167.00,2.18,11.20,N,25.74
2019-06-30,12.60,14.75,19.30,86.83,5.80,124.92,1250.00,1.14,11.30,NE,15.28
2019-07-01,12.10,15.78,21.10,87.17,3.60,257.92,1313.00,2.13,11.60,S,10.48
2019-07-02,12.00,15.72,21.10,88.92,1.20,202.58,1253.00,1.63,10.90,NNW,2.80
2019-07-03,12.10,16.64,22.60,82.00,0.00,315.67,1281.00,2.29,11.50,NNE,18.70
2019-07-04,11.70,15.98,21.20,61.96,0.00,323.42,1007.00,2.20,9.50,ENE,20.58
2019-07-05,11.80,15.62,20.40,60.04,0.00,311.67,1018.00,2.10,9.30,NE,22.52
2019-07-06,11.10,15.52,20.70,66.12,0.00,318.54,1071.00,2.16,9.60,NE,26.38
2019-07-07,12.90,16.50,21.40,78.62,6.20,244.08,1339.00,1.80,11.50,NNE,24.14
2019-07-08,12.70,14.98,20.10,84.21,2.00,130.17,1178.00,1.27,11.10,N,19.64
2019-07-09,12.30,14.69,18.50,87.54,8.00,139.67,1225.00,1.29,11.60,N,12.60
2019-07-10,11.30,15.37,19.10,84.12,0.00,253.42,1262.00,1.91,10.90,NNE,10.05
2019-07-11,13.10,16.03,21.20,77.88,2.60,280.58,1245.00,2.05,10.60,N,19.30
2019-07-12,11.20,14.06,17.90,90.25,34.40,139.38,1132.00,1.02,10.40,,0.00
2019-07-13,11.30,14.72,18.50,90.75,0.60,192.29,1188.00,1.47,11.10,,0.00
2019-07-14,10.00,15.75,21.20,80.00,0.00,251.67,1271.00,1.81,10.70,ENE,15.41
2019-07-15,12.20,15.83,20.70,80.96,3.60,249.96,1294.00,1.78,11.10,N,21.83
2019-07-16,11.90,14.70,18.90,80.00,1.40,113.17,998.00,1.10,9.20,ESE,18.10
2019-07-17,12.60,15.63,20.20,81.83,0.00,263.79,1232.00,2.24,11.90,E,24.63
2019-07-18,12.40,14.88,18.70,84.62,3.20,171.62,1179.00,1.42,11.00,N,26.08
2019-07-19,11.20,15.32,20.20,77.04,0.00,297.04,960.00,2.33,10.00,NE,21.86
2019-07-20,12.90,15.92,20.30,78.08,10.80,236.42,1211.00,1.83,10.10,ENE,16.48
2019-07-21,12.70,15.88,21.00,82.29,0.00,250.38,1252.00,2.05,11.00,NNE,16.35
2019-07-22,12.10,14.90,20.50,85.25,35.60,191.83,1071.00,1.59,10.40,N,12.87
2019-07-23,11.30,15.41,20.60,83.75,0.00,264.12,1178.00,2.13,11.30,N,10.64
2019-07-24,11.80,15.48,20.10,79.00,0.00,271.08,998.00,1.99,9.80,NNE,16.72
2019-07-25,12.70,15.42,21.10,81.50,8.20,234.17,1220.00,2.04,10.70,NE,14.05
2019-07-26,11.30,14.98,19.60,71.00,9.00,311.92,1132.00,2.25,10.80,NNE,24.61
2019-07-27,10.90,15.00,19.80,74.12,0.00,295.71,1085.00,2.21,10.00,ENE,27.62
2019-07-28,11.80,15.38,19.70,78.62,5.60,305.00,1139.00,2.25,10.60,ENE,20.92
2019-07-29,11.80,15.06,19.70,72.12,1.60,273.12,1067.00,2.20,10.50,NNE,24.54
2019-07-30,11.50,14.89,19.80,76.67,0.00,282.92,1104.00,2.30,10.90,NNE,28.71
2019-07-31,11.60,15.50,20.60,77.00,0.00,276.79,1174.00,2.27,11.40,N,27.38
2019-08-01,11.70,16.22,21.60,75.42,0.00,281.67,1127.00,2.28,10.60,ENE,18.92
2019-08-02,12.00,16.17,21.20,84.04,0.00,240.42,1102.00,1.89,10.50,S,15.10
2019-08-03,13.30,15.42,20.60,86.04,10.20,170.00,1276.00,1.59,11.60,NNE,19.30
2019-08-04,12.80,15.35,20.70,86.58,21.80,205.75,1267.00,1.78,11.40,S,18.10
2019-08-05,9.90,15.42,20.50,80.88,0.00,231.54,1144.00,1.80,11.30,NE,12.08
2019-08-06,13.20,16.19,20.90,82.54,0.20,212.12,1271.00,1.68,11.80,NE,16.10
2019-08-07,12.10,16.53,21.50,83.38,0.00,307.92,1238.00,2.75,11.50,NNE,16.10
2019-08-08,12.10,16.27,21.00,87.50,0.00,258.50,1253.00,1.97,10.70,N,13.38
