"Autoridad Para el Manejo Sustentable de la Cuenca del Lago Atitlan y su Entorno (AMSCLAE)"
"Departamento de Investigacion y Calidad Ambiental (DICA)"
"Estacion Climatica de"
"Finca Santa Victoria"
2017
"  "
Mes,"Temp. Min. Abs. (°C)","Temp. Prom (°C)","Temp. Max Abs. (°C)","Hum. (%)","Precipitacion (mm)","Rad. Solar (W/m2)","Rad. Solar Max Abs.(W/m2)","Indice UV (Unidad)","Indice UV Max Abs. (Unidad)","Direccion Viento Max","Velocidad Viento Max. (km/h)"
2017-01-01,9.20,13.90,20.70,81.17,0.00,210.46,847.00,1.38,7.10,S,4.32
2017-01-02,9.70,14.20,21.60,75.71,0.00,212.62,858.00,1.45,7.50,S,4.19
2017-01-03,10.00,13.69,20.50,83.88,0.00,215.54,847.00,1.45,7.40,SSW,6.52
2017-01-04,7.70,13.60,20.90,63.83,0.00,221.88,858.00,1.48,7.50,E,7.22
2017-01-05,9.70,14.02,20.60,86.17,0.00,209.33,912.00,1.45,7.60,SSW,5.29
2017-01-06,10.00,13.33,18.70,90.71,0.25,167.75,986.00,1.20,7.60,ESE,3.38
2017-01-07,11.20,13.94,19.10,79.00,0.00,155.38,956.00,1.15,7.90,S,4.28
2017-01-08,8.00,11.40,14.60,84.17,2.79,219.92,858.00,1.58,8.10,E,42.96
2017-01-09,6.30,9.96,17.30,71.83,0.00,221.33,861.00,1.58,7.90,E,27.19
2017-01-10,6.30,12.16,21.20,71.46,0.00,225.42,875.00,1.57,7.90,ESE,20.70
2017-01-11,5.80,12.18,20.60,75.42,0.00,187.50,1069.00,1.33,7.90,E,9.23
2017-01-12,6.80,12.43,21.50,80.58,0.25,164.12,990.00,1.20,8.30,E,9.65
2017-01-13,6.80,12.92,20.60,67.54,0.00,225.54,881.00,1.65,8.20,E,14.78
2017-01-14,9.20,13.01,18.90,75.71,0.00,230.58,1097.00,1.71,9.20,E,25.72
2017-01-15,8.90,12.98,20.10,75.71,0.00,181.25,1104.00,1.40,9.10,E,21.14
2017-01-16,8.30,12.57,18.40,84.08,0.00,197.29,995.00,1.33,8.30,SSW,5.04
2017-01-17,7.90,12.60,19.60,80.88,0.00,195.88,1013.00,1.30,7.60,SSW,5.81
2017-01-18,9.30,13.31,19.80,87.00,0.00,119.12,1190.00,0.96,9.10,ESE,4.27
2017-01-19,9.20,13.17,19.20,82.29,0.51,196.25,984.00,1.43,8.10,SSE,4.27
2017-01-20,9.70,12.94,18.30,90.17,0.25,197.42,1063.00,1.44,8.80,SSW,5.61
2017-01-21,9.70,12.02,15.40,94.12,1.00,105.67,1099.00,0.80,9.10,S,8.20
2017-01-22,8.70,13.28,19.20,85.79,0.25,188.12,986.00,1.40,8.50,SSW,6.02
