Día,"Temp. Min. Abs. (°C)","Temp. Prom (°C)","Temp. Max Abs. (°C)","Hum. (%)","Precipitacion (mm)","Rad. Solar (W/m2)","Rad. Solar Max Abs.(W/m2)","Indice UV (Unidad)","Indice UV Max Abs. (Unidad)","Direccion Viento Max","Velocidad Viento Max. (km/h)"
2019-01-01,9.30,15.10,22.70,67.67,0.00,192.46,891.00,1.20,7.00,N,18.77
2019-01-02,9.10,14.05,21.80,82.04,0.00,187.08,972.00,1.14,7.10,S,8.76
2019-01-03,8.90,15.63,23.40,63.71,0.00,130.21,962.00,0.80,7.00,S,5.41
2019-01-04,9.30,16.48,24.20,60.08,0.00,198.83,888.00,1.25,6.90,S,8.28
2019-01-05,11.10,15.39,23.40,71.33,0.00,167.67,984.00,1.06,7.20,ESE,14.90
2019-01-06,9.30,13.62,19.80,78.42,0.00,161.62,1060.00,1.15,7.80,ESE,11.27
2019-01-07,9.00,12.32,17.80,86.25,0.00,99.12,1020.00,0.64,7.00,ESE,6.91
2019-01-08,8.30,12.95,18.80,75.25,0.00,181.58,1034.00,1.23,8.00,ESE,11.82
2019-01-09,10.10,12.92,19.10,83.12,0.00,84.46,1081.00,0.71,8.40,SE,15.14
2019-01-10,10.30,12.43,17.50,86.08,2.00,72.46,1107.00,0.62,8.30,SE,15.14
2019-01-11,7.10,12.30,19.40,86.42,0.00,171.12,1067.00,1.07,7.80,ESE,6.89
2019-01-12,7.80,12.87,18.40,89.29,0.00,196.50,954.00,1.23,7.00,ESE,4.81
2019-01-13,8.60,12.98,19.90,75.83,0.00,200.00,881.00,1.39,7.50,S,4.48
2019-01-14,10.00,12.37,17.70,83.58,0.00,170.25,1252.00,1.18,9.30,ESE,22.81
2019-01-15,9.90,12.96,19.20,79.75,0.00,184.71,962.00,1.32,7.70,ESE,16.10
2019-01-16,10.40,13.65,19.40,80.46,0.00,196.50,928.00,1.40,7.80,ESE,18.96
2019-01-17,10.10,13.55,19.70,76.33,0.00,196.71,872.00,1.32,7.40,SE,21.17
2019-01-18,7.90,13.81,22.20,74.83,0.00,197.29,889.00,1.34,7.60,ENE,4.27
2019-01-19,8.40,12.67,18.10,83.25,0.00,198.04,879.00,1.30,7.30,S,5.33
