Día,"Temp. Min. Abs. (°C)","Temp. Prom (°C)","Temp. Max Abs. (°C)","Hum. (%)","Precipitacion (mm)","Rad. Solar (W/m2)","Rad. Solar Max Abs.(W/m2)","Indice UV (Unidad)","Indice UV Max Abs. (Unidad)","Direccion Viento Max","Velocidad Viento Max. (km/h)"
2012-11-01,8.30,9.66,12.70,92.08,0.12,52.50,360.00,0.50,4.60,NE,2.42
2012-11-02,5.90,9.10,13.80,90.21,0.02,151.58,1269.00,1.72,15.00,NNW,3.44
2012-11-03,3.70,9.68,16.10,84.00,0.18,197.62,1239.00,2.32,13.30,NW,1.60
2012-11-04,7.70,11.59,16.70,80.83,0.00,251.29,1028.00,2.70,12.70,ENE,5.07
2012-11-05,8.30,10.70,14.40,89.56,0.00,238.39,1099.00,2.51,14.00,NNW,7.22
2012-11-06,8.10,10.21,13.90,90.33,0.00,175.54,1339.00,2.12,15.30,N,6.40
2012-11-07,7.40,10.16,16.10,82.54,0.00,165.88,1192.00,1.98,14.30,NNW,6.37
2012-11-08,4.70,9.24,15.10,76.04,0.00,219.17,888.00,2.45,12.10,NNW,4.04
2012-11-09,3.50,9.58,15.80,73.04,0.00,255.12,962.00,2.68,12.50,NW,2.01
2012-11-10,4.10,9.50,15.70,74.92,0.00,243.88,990.00,2.62,12.70,ESE,4.58
2012-11-11,2.80,9.45,15.70,76.38,0.00,195.17,1174.00,2.17,12.90,NNW,2.55
2012-11-12,2.90,9.40,15.00,76.79,0.03,237.42,916.00,2.48,11.80,NNW,6.26
2012-11-13,7.10,9.35,13.20,77.50,0.01,214.50,1020.00,1.85,11.70,NNW,9.43
2012-11-14,5.20,8.88,14.90,85.96,0.00,194.83,1164.00,2.00,12.80,NNW,6.58
2012-11-15,4.90,8.19,12.80,79.54,0.00,243.83,998.00,2.40,12.00,NNW,6.73
2012-11-16,4.40,8.07,14.30,78.62,0.01,242.21,1004.00,2.34,12.10,NNW,8.25
2012-11-17,5.40,8.69,13.60,62.83,0.00,194.29,983.00,1.49,11.10,NNW,11.71
2012-11-18,5.60,9.52,14.90,72.50,0.00,176.25,1020.00,1.59,11.20,NNW,7.83
2012-11-19,2.50,9.57,16.40,48.62,0.00,211.33,824.00,2.23,10.70,N,5.32
2012-11-20,2.90,9.23,16.40,42.17,0.00,228.38,824.00,2.25,10.40,NW,3.38
2012-11-21,1.70,8.19,14.80,56.71,0.00,227.25,809.00,2.21,10.30,NW,2.72
2012-11-22,4.60,9.18,14.50,78.96,0.00,199.25,1049.00,1.99,11.10,NNE,4.36
2012-11-23,2.30,8.25,15.60,70.50,0.01,225.33,805.00,2.22,10.40,NNE,2.01
2012-11-24,1.80,8.16,15.40,55.29,0.00,220.21,793.00,2.21,10.20,NNW,2.64
2012-11-25,2.60,9.48,17.10,45.12,0.00,218.88,784.00,2.15,10.00,NW,1.53
2012-11-26,3.70,12.44,17.60,31.42,0.00,221.21,795.00,2.15,9.90,NNW,1.96
2012-11-27,5.60,12.24,16.90,51.58,0.00,214.83,791.00,2.08,9.90,NNW,8.54
2012-11-28,7.20,9.59,14.60,89.17,0.01,204.29,979.00,2.15,11.90,NNW,8.73
2012-11-29,5.70,9.93,15.80,84.00,0.00,213.38,1151.00,2.06,11.00,NNE,3.30
2012-11-30,5.20,9.51,15.80,84.33,0.01,158.12,979.00,1.67,10.70,NNW,4.14
2012-12-01,6.80,9.09,14.10,87.74,0.00,155.22,858.00,1.77,10.10,NNW,6.52
2012-12-02,5.60,9.05,14.90,85.42,0.00,156.79,858.00,1.68,9.80,NNW,4.88
2012-12-03,4.90,6.80,7.80,85.04,0.00,0.00,0.00,0.00,0.00,,0.00
2012-12-04,,,,85.00,0.00,0.00,0.00,0.00,0.00,,0.00
2012-12-05,,,,85.00,0.00,0.00,0.00,0.00,0.00,,0.00
2012-12-06,,,,85.00,0.00,0.00,0.00,0.00,0.00,,0.00
2012-12-07,,,,85.00,0.00,0.00,0.00,0.00,0.00,,0.00
2012-12-08,,,,85.00,0.00,0.00,0.00,0.00,0.00,,0.00
2012-12-09,,,,85.00,0.00,0.00,0.00,0.00,0.00,,0.00
2012-12-10,,,,85.00,0.00,0.00,0.00,0.00,0.00,,0.00
2012-12-11,,,,85.00,0.00,0.00,0.00,0.00,0.00,,0.00
2012-12-12,,,,85.00,0.00,0.00,0.00,0.00,0.00,,0.00
2012-12-13,,,,85.00,0.00,0.00,0.00,0.00,0.00,,0.00
2012-12-14,,,,85.00,0.00,0.00,0.00,0.00,0.00,,0.00
2012-12-15,,,,85.00,0.00,0.00,0.00,0.00,0.00,,0.00
2012-12-16,,,,85.00,0.00,0.00,0.00,0.00,0.00,,0.00
2012-12-17,4.90,11.22,15.30,77.96,0.08,131.88,772.00,0.98,6.70,,0.00
2012-12-18,1.60,8.50,17.50,64.12,0.00,211.12,768.00,1.41,6.70,NW,3.08
2012-12-19,1.00,8.50,15.10,78.29,0.00,188.00,939.00,1.30,6.50,ESE,4.99
2012-12-20,0.80,9.32,17.90,61.62,0.00,200.50,758.00,1.34,6.40,NNW,9.10
2012-12-21,5.90,7.38,10.50,89.58,0.03,189.17,907.00,1.27,7.20,NNW,14.46
2012-12-22,4.80,7.28,11.30,90.96,0.01,213.58,1121.00,1.32,7.80,NNW,14.31
2012-12-23,4.10,10.87,17.10,41.38,0.00,205.04,981.00,1.27,7.70,SE,3.42
2012-12-24,1.40,8.60,16.00,60.12,0.00,200.67,965.00,1.23,7.50,NE,1.44
2012-12-25,0.90,9.38,18.10,64.46,0.00,200.29,965.00,1.22,7.30,ESE,1.82
2012-12-26,4.60,10.77,17.70,56.12,0.00,195.62,949.00,1.20,7.10,ESE,2.12
2012-12-27,3.10,9.96,16.60,57.25,0.00,198.17,951.00,1.18,7.20,ESE,3.50
2012-12-28,2.80,9.90,16.90,72.00,0.00,199.17,930.00,1.33,7.10,ESE,3.19
2012-12-29,3.10,9.72,15.40,65.17,0.01,193.46,722.00,1.30,6.20,NNW,13.38
2012-12-30,6.40,8.18,10.50,94.62,0.00,153.88,981.00,1.04,7.50,NNW,17.14
