Día,"Temp. Min. Abs. (°C)","Temp. Prom (°C)","Temp. Max Abs. (°C)","Hum. (%)","Precipitacion (mm)","Rad. Solar (W/m2)","Rad. Solar Max Abs.(W/m2)","Indice UV (Unidad)","Indice UV Max Abs. (Unidad)","Direccion Viento Max","Velocidad Viento Max. (km/h)"
2014-01-01,21.90,23.58,25.30,57.62,0.00,482.25,1139.00,4.46,8.80,,0.00
2014-01-02,13.70,22.30,23.20,73.00,0.00,241.00,631.00,1.35,2.40,,0.00
2014-01-03,19.10,23.32,25.10,47.50,0.00,525.50,824.00,4.30,8.40,,0.00
2014-01-04,19.60,24.22,25.80,69.75,0.00,355.20,851.00,2.56,6.70,,0.00
2014-01-05,19.60,23.00,25.20,66.75,0.00,335.80,731.00,1.80,4.50,,0.00
2014-01-06,17.10,21.60,21.70,35.00,0.00,509.00,531.00,3.00,3.00,,0.00
2014-01-07,16.90,18.40,18.80,58.00,0.00,431.00,431.00,2.60,2.60,,0.00
2014-01-08,17.00,21.62,24.70,56.00,0.00,383.90,1048.00,3.68,9.30,,0.00
2014-01-09,19.80,24.06,27.30,63.00,0.00,499.78,1065.00,3.88,8.80,,0.00
2014-01-10,19.80,22.66,25.40,66.71,0.00,578.00,824.00,5.14,8.00,,0.00
2014-01-11,17.10,19.20,21.60,69.50,0.00,254.33,517.00,1.40,2.90,,0.00
2014-01-12,15.40,21.71,25.70,56.10,0.00,558.57,900.00,4.57,8.50,,0.00
2014-01-13,13.20,19.43,22.70,68.88,0.00,198.25,420.00,1.10,1.70,,0.00
2014-01-14,16.90,18.48,20.60,76.50,0.00,417.00,417.00,,,,0.00
2014-01-15,18.60,22.55,25.20,54.25,0.00,396.67,893.00,3.28,7.00,,0.00
2014-01-16,,,,,0.00,,,,,,0.00
2014-01-17,15.90,18.10,22.00,67.67,0.00,172.50,394.00,1.70,3.50,,0.00
2014-01-18,17.80,19.60,21.80,56.67,0.00,99.00,148.00,0.60,0.90,,0.00
2014-01-19,18.10,20.35,23.20,54.00,0.00,305.67,619.00,2.07,3.00,,0.00
2014-01-20,,,,,0.00,,,,,,0.00
2014-01-21,,,,,0.00,,,,,,0.00
2014-01-22,19.00,,19.00,,0.00,,,,,,0.00
2014-01-23,20.30,24.40,24.90,61.00,0.00,499.25,795.00,3.62,6.80,,0.00
2014-01-24,17.80,21.80,22.90,49.00,0.20,137.00,272.00,1.70,3.40,,0.00
2014-01-25,21.20,22.45,23.10,53.50,0.00,261.00,682.00,1.47,4.00,,0.00
2014-01-26,,,,,0.00,,,,,,0.00
2014-01-27,14.90,17.76,22.40,80.25,0.00,199.75,475.00,1.41,1.60,,0.00
2014-01-28,11.80,17.19,24.60,70.36,0.00,284.09,809.00,1.92,6.50,SW,3.79
2014-01-29,11.90,17.03,22.80,70.10,0.00,303.60,322.00,1.80,1.80,ENE,4.03
2014-01-30,14.30,19.23,24.40,64.11,0.00,276.00,276.00,,,SW,6.63
2014-01-31,11.70,17.13,22.30,70.91,0.00,,,,,,0.00
2014-02-01,12.40,16.94,22.10,71.88,0.00,647.00,647.00,4.80,4.80,ENE,3.83
2014-02-02,13.60,16.52,21.40,74.83,0.00,,,,,SW,3.87
2014-02-03,12.80,17.14,22.20,75.10,0.00,244.67,341.00,2.38,2.80,SW,3.65
2014-02-04,12.80,16.45,24.00,70.47,0.00,229.00,229.00,2.30,2.30,SW,4.34
2014-02-05,16.50,18.71,22.10,76.88,0.00,,,,,,0.00
2014-02-06,14.30,19.52,24.90,66.53,0.00,402.00,1072.00,4.18,10.20,,0.00
2014-02-07,18.10,21.04,26.30,63.30,0.00,222.50,888.00,1.85,7.70,,0.00
2014-02-08,16.00,20.33,23.10,54.60,0.00,350.83,694.00,3.57,6.00,,0.00
2014-02-09,20.60,22.39,24.40,57.71,0.00,513.25,1130.00,5.46,13.20,,0.00
2014-02-10,21.80,23.05,24.00,65.50,0.00,269.00,1063.00,2.92,8.50,,0.00
2014-02-11,22.40,,22.50,,0.00,,,,,,0.00
2014-02-12,14.10,,21.30,,0.00,,,,,,0.00
2014-02-13,20.40,,20.40,,0.00,,,,,,0.00
2014-02-14,21.80,21.80,22.00,75.00,0.00,69.00,69.00,0.60,0.60,,0.00
2014-02-15,21.20,24.40,26.10,50.33,0.00,310.67,587.00,1.47,3.40,,0.00
2014-02-16,20.00,22.95,26.90,49.00,0.00,356.50,997.00,3.55,7.50,,0.00
2014-02-17,20.30,22.94,25.10,62.40,0.00,238.00,1162.00,3.27,11.50,,0.00
2014-02-18,17.40,20.15,24.20,69.80,0.00,154.25,724.00,1.97,11.30,,0.00
2014-02-19,15.00,18.77,25.20,72.14,0.00,173.45,1262.00,1.82,11.70,WSW,4.23
2014-02-20,16.50,19.63,23.30,79.67,0.00,361.67,747.00,1.54,4.20,,0.00
2014-02-21,14.60,19.37,22.60,71.90,0.00,696.00,696.00,5.40,5.40,,0.00
2014-02-22,16.90,20.72,24.30,70.38,0.00,,,,,,0.00
2014-02-23,15.60,19.44,26.40,72.61,0.00,239.90,1107.00,2.18,9.90,WSW,3.04
2014-02-24,13.60,17.72,23.70,70.31,0.00,101.07,722.00,1.18,5.00,WSW,4.02
2014-03-01,14.50,19.94,26.70,72.00,0.00,662.00,1069.00,5.36,10.30,,0.00
2014-03-02,13.40,17.89,24.40,65.63,0.00,,,,,E,2.55
2014-03-03,13.10,18.50,24.30,68.57,0.00,,,,,E,3.12
2014-03-04,15.30,18.69,23.60,72.57,0.00,202.38,399.00,1.41,1.60,WSW,3.76
2014-03-05,16.40,18.34,23.30,80.90,0.00,200.00,200.00,1.40,1.40,E,4.02
2014-03-06,13.80,18.22,23.30,78.95,1.40,,,,,E,3.86
2014-03-07,15.90,18.89,24.60,78.13,8.60,,,,,WSW,3.30
2014-03-08,15.80,18.98,24.20,80.14,0.00,,,,,,0.00
