"Autoridad Para el Manejo Sustentable de la Cuenca del Lago Atitlan y su Entorno (AMSCLAE)"
"Departamento de Investigacion y Calidad Ambiental (DICA)"
"Estacion Climatica de"
Panajachel
2016
"  "
Mes,"Temp. Min. Abs. (°C)","Temp. Prom (°C)","Temp. Max Abs. (°C)","Hum. (%)","Precipitacion (mm)","Rad. Solar (W/m2)","Rad. Solar Max Abs.(W/m2)","Indice UV (Unidad)","Indice UV Max Abs. (Unidad)","Direccion Viento Max","Velocidad Viento Max. (km/h)"
2016-01-01,17.40,21.27,26.80,58.96,0.00,219.38,780.00,6.31,16.00,,0.00
2016-01-02,16.10,20.88,27.80,64.12,0.00,200.00,923.00,5.89,16.00,,0.00
2016-01-03,14.40,20.26,27.80,70.12,0.00,222.00,886.00,6.11,16.00,,0.00
2016-01-04,15.10,19.88,26.70,69.46,0.00,212.08,824.00,6.16,16.00,,0.00
2016-01-05,14.60,19.33,26.20,74.29,0.00,190.79,954.00,6.33,16.00,,0.00
2016-01-06,13.60,18.74,25.70,76.08,0.00,204.08,779.00,6.12,16.00,,0.00
2016-01-07,14.40,18.21,23.30,80.92,0.00,165.50,940.00,6.74,16.00,,0.00
2016-01-08,13.40,18.59,24.80,80.08,0.00,198.21,772.00,5.80,16.00,,0.00
2016-01-09,12.70,17.77,24.10,77.12,0.00,187.12,795.00,5.28,16.00,ENE,6.08
2016-01-10,12.70,18.68,24.20,72.79,0.00,179.17,874.00,6.24,16.00,S,14.23
2016-01-11,14.20,18.60,24.80,77.83,0.00,194.96,853.00,6.05,16.00,,0.00
2016-01-12,13.90,18.09,24.60,79.62,0.00,176.96,796.00,6.30,16.00,S,9.43
2016-01-13,14.30,18.81,25.30,73.96,0.00,173.54,1116.00,6.34,16.00,S,9.65
2016-01-14,14.90,19.04,25.00,80.33,0.80,193.62,791.00,6.15,16.00,S,11.43
2016-01-15,13.90,17.80,24.00,83.62,0.00,162.25,851.00,6.18,16.00,ENE,5.70
2016-01-16,13.50,18.63,25.10,78.12,0.00,210.12,830.00,6.35,16.00,SSE,9.52
2016-01-17,14.30,19.17,25.90,71.54,0.00,216.79,798.00,6.20,16.00,NE,18.09
2016-01-18,13.20,18.65,25.40,71.12,0.00,218.67,798.00,6.30,16.00,NNE,8.62
2016-01-19,12.80,19.42,26.30,62.42,0.00,221.12,842.00,6.27,16.00,NE,16.37
2016-01-20,13.70,18.63,24.60,69.92,0.00,210.33,838.00,6.50,16.00,E,8.29
2016-01-21,14.30,18.73,24.80,77.46,0.00,123.42,701.00,6.49,16.00,NE,4.27
2016-01-22,15.60,19.90,27.90,65.83,0.00,215.79,782.00,6.68,16.00,NNE,22.92
2016-01-23,12.30,17.70,24.90,69.00,0.00,218.54,796.00,5.98,16.00,NE,13.22
2016-01-24,12.30,17.39,23.20,80.33,0.00,166.62,942.00,6.46,16.00,NE,5.17
2016-01-25,12.90,17.85,23.40,80.50,0.00,201.50,817.00,6.09,16.00,S,9.00
2016-01-26,12.70,17.88,24.30,74.21,0.00,219.17,803.00,6.20,16.00,ESE,5.41
2016-01-27,12.90,18.47,25.30,74.54,0.00,192.62,802.00,6.11,16.00,ESE,4.80
2016-01-28,14.30,18.85,25.40,74.42,0.00,208.67,849.00,5.78,16.00,S,9.00
2016-01-29,14.70,18.79,25.20,73.83,0.00,168.42,854.00,6.36,16.00,SSE,8.04
2016-01-30,14.20,19.05,24.30,82.04,0.00,182.04,877.00,6.73,16.00,S,9.66
2016-01-31,15.10,19.12,24.00,81.92,0.00,172.38,990.00,5.50,16.00,S,8.28
2016-02-01,14.20,18.60,24.20,80.52,0.00,198.96,940.00,6.46,16.00,S,7.93
2016-02-02,13.80,17.83,23.10,80.42,4.20,174.96,954.00,6.11,16.00,NE,4.53
2016-02-03,13.50,17.93,23.70,82.12,0.00,209.83,837.00,5.40,16.00,S,4.97
2016-02-04,13.90,20.11,27.00,65.79,0.00,239.96,877.00,4.99,16.00,NE,25.22
2016-02-05,14.20,19.79,26.10,57.08,0.00,242.12,867.00,5.50,16.00,NNE,23.19
2016-02-06,14.30,19.17,25.50,61.42,0.00,239.04,993.00,5.60,16.00,NE,15.83
2016-02-07,12.70,18.35,24.80,57.83,0.00,247.25,884.00,4.37,16.00,NE,20.44
2016-02-08,11.70,18.18,25.10,60.92,0.00,240.62,949.00,5.91,16.00,NE,14.86
2016-02-09,13.10,18.37,26.80,45.58,0.00,241.12,932.00,5.93,16.00,NE,20.73
