"Autoridad Para el Manejo Sustentable de la Cuenca del Lago Atitlan y su Entorno (AMSCLAE)"
"Departamento de Investigacion y Calidad Ambiental (DICA)"
"Estacion Climatica de"
"San Jose Chacaya"
2015
"  "
Mes,"Temp. Min. Abs. (°C)","Temp. Prom (°C)","Temp. Max Abs. (°C)","Hum. (%)","Precipitacion (mm)","Rad. Solar (W/m2)","Rad. Solar Max Abs.(W/m2)","Indice UV (Unidad)","Indice UV Max Abs. (Unidad)","Direccion Viento Max","Velocidad Viento Max. (km/h)"
2015-01-22,8.40,16.05,19.90,73.78,0.00,,,,,NNE,4.12
2015-01-23,6.80,12.44,19.10,84.08,0.00,,,,,SSE,3.49
2015-01-24,6.20,12.73,19.20,73.04,0.00,,,,,SSE,4.56
2015-01-25,5.30,12.35,20.30,79.12,0.00,,,,,SSE,3.26
2015-01-26,4.80,12.89,21.00,71.50,0.00,,,,,SSE,3.71
2015-01-27,4.90,10.78,20.20,64.90,0.00,,,,,SSE,4.51
2015-01-28,3.10,11.35,20.90,46.08,0.00,,,,,SSE,4.25
2015-01-29,0.00,8.93,19.30,65.67,0.00,,,,,SSE,4.03
2015-01-30,0.90,9.30,18.40,69.79,0.00,,,,,SSE,4.25
2015-01-31,3.80,11.62,20.90,75.88,0.00,,,,,NNE,4.70
2015-02-01,5.50,12.73,21.10,76.21,0.00,,,,,SSE,12.41
2015-02-02,7.10,8.06,9.20,91.43,0.00,,,,,SSE,15.19
2015-02-03,6.40,15.96,20.70,58.86,0.00,,,,,,0.00
2015-02-04,3.20,11.65,21.40,69.29,0.00,,,,,WSW,14.96
2015-02-05,5.70,11.91,20.20,74.41,0.00,,,,,W,16.74
2015-02-06,7.90,13.92,19.20,65.61,0.00,,,,,ENE,32.60
2015-02-07,4.30,11.90,20.50,80.17,59.60,,,,,W,12.62
2015-02-08,7.10,12.91,19.80,84.83,19.40,,,,,W,11.55
2015-02-09,9.10,13.69,19.10,84.62,0.00,,,,,W,10.48
2015-02-10,8.70,13.84,20.00,82.75,4.60,,,,,SE,14.24
2015-02-11,7.30,12.53,16.90,89.29,0.00,,,,,W,13.43
2015-02-12,4.30,9.35,17.10,87.52,0.00,,,,,WSW,11.63
2015-02-13,3.80,10.90,20.60,71.79,0.00,,,,,WSW,15.19
2015-02-14,2.10,10.02,20.50,71.00,0.00,,,,,WSW,13.22
2015-02-15,5.90,12.68,20.60,73.00,0.00,,,,,W,13.81
2015-02-16,7.20,13.48,20.90,78.62,0.00,,,,,WSW,12.62
2015-02-17,6.30,13.78,22.50,75.83,0.00,,,,,WSW,14.70
2015-02-18,5.40,13.60,22.10,70.04,0.00,,,,,WSW,13.97
2015-02-19,5.30,12.32,19.60,73.75,0.00,,,,,WSW,13.43
2015-02-20,7.40,13.64,20.10,80.33,0.00,,,,,SSE,17.68
2015-02-21,7.20,13.41,21.00,78.54,0.00,,,,,W,13.22
2015-02-22,7.20,14.51,22.70,73.62,0.00,,,,,W,13.29
2015-02-23,10.90,15.75,22.00,57.33,0.00,,,,,ENE,27.13
2015-02-24,6.40,13.49,22.40,68.71,0.00,,,,,W,13.97
2015-02-25,6.00,12.32,19.10,81.54,0.00,,,,,S,15.12
2015-02-26,7.30,13.23,20.10,80.79,0.00,,,,,WSW,12.58
2015-02-27,5.40,13.65,22.00,76.46,0.00,,,,,ESE,15.28
2015-02-28,5.10,13.53,22.80,65.33,0.00,,,,,W,18.10
2015-03-01,7.20,13.57,19.60,72.17,0.00,,,,,NE,28.34
2015-03-02,13.00,16.76,21.10,62.08,1.00,,,,,ENE,28.97
2015-03-03,7.00,14.78,22.70,67.96,0.00,,,,,ENE,22.95
2015-03-04,5.40,13.10,22.50,73.29,0.00,,,,,W,12.90
2015-03-05,7.60,14.96,22.80,70.88,0.00,,,,,ESE,19.54
2015-03-06,12.10,15.20,20.20,70.62,0.00,,,,,NNE,36.70
2015-03-07,10.70,13.49,20.20,60.58,0.00,,,,,NE,42.10
2015-03-08,7.20,13.14,20.80,59.87,0.00,,,,,N,37.37
2015-03-09,3.50,12.08,22.60,68.21,0.00,,,,,WSW,15.19
2015-03-10,5.90,13.35,22.80,67.21,0.00,,,,,W,17.43
2015-03-11,7.70,15.40,25.10,68.17,0.00,,,,,W,14.77
2015-03-12,8.30,16.54,24.40,66.42,0.40,,,,,W,10.64
2015-03-13,7.20,14.38,22.20,77.17,0.00,,,,,SE,17.94
2015-03-14,6.80,14.20,22.30,67.29,0.00,,,,,W,15.19
2015-03-15,5.60,13.50,21.10,68.38,0.00,,,,,W,13.70
2015-03-16,11.70,14.79,19.70,65.83,0.00,,,,,ENE,28.95
2015-03-17,7.60,14.65,21.20,65.25,6.40,,,,,SE,20.20
2015-03-18,7.20,13.20,20.30,84.38,8.60,,,,,SSE,19.30
2015-03-19,11.20,13.99,20.00,88.62,0.40,,,,,SE,12.05
2015-03-20,7.90,13.28,19.40,85.79,0.20,,,,,W,12.10
2015-03-21,8.70,13.20,18.10,87.29,0.00,,,,,W,10.04
2015-03-22,8.10,13.38,19.70,88.21,0.00,,,,,W,11.94
2015-03-23,9.20,14.42,21.30,83.25,0.00,,,,,W,8.06
2015-03-24,5.30,13.16,21.50,77.08,0.00,,,,,W,12.45
2015-03-25,8.10,13.51,20.10,83.42,0.00,,,,,WSW,13.13
2015-03-26,9.50,14.66,21.60,86.96,0.20,,,,,SE,13.84
2015-03-27,9.60,15.43,21.80,82.42,0.00,,,,,SE,20.28
2015-03-28,8.30,15.34,23.10,74.00,0.00,,,,,SE,17.70
2015-03-29,7.80,13.88,22.50,82.71,15.20,,,,,SSE,20.90
2015-03-30,9.90,14.34,19.30,85.08,0.20,,,,,SSE,15.03
2015-03-31,8.40,14.82,21.70,72.00,0.00,,,,,ESE,18.34
2015-04-01,7.90,13.87,21.40,81.67,0.00,,,,,W,12.66
2015-04-02,8.70,14.90,21.30,82.50,,,,,,W,13.17
2015-04-03,10.80,16.26,22.60,79.21,,,,,,E,12.87
2015-04-04,7.20,15.24,23.50,63.08,,,,,,ENE,23.30
2015-04-05,9.50,16.37,23.40,52.33,,,,,,NW,20.90
2015-04-06,7.20,14.78,22.10,70.54,,,,,,W,13.97
2015-04-07,5.50,13.98,21.90,66.04,,,,,,W,13.36
2015-04-08,7.20,14.07,21.10,75.04,,,,,,E,16.90
2015-04-09,7.60,14.74,23.00,75.25,,,,,,WSW,12.24
2015-04-10,8.00,14.58,22.60,78.29,,,,,,W,11.89
2015-04-11,7.40,14.68,23.50,77.17,,,,,,WSW,14.50
2015-04-12,8.50,14.48,21.40,83.08,,,,,,SSE,21.22
2015-04-13,11.10,15.79,20.60,86.75,,,,,,WSW,11.02
2015-04-14,10.30,15.89,21.30,85.33,,,,,,W,11.48
2015-04-15,10.80,15.56,22.00,84.88,,,,,,SSE,20.37
2015-04-16,11.50,15.80,21.50,86.83,,,,,,SE,15.69
2015-04-17,10.10,15.27,22.30,86.92,,,,,,W,8.06
2015-04-18,11.40,13.46,15.90,95.58,,,,,,WSW,10.34
2015-04-19,10.60,15.53,21.40,88.75,,,,,,W,12.66
2015-04-20,12.90,16.34,21.90,88.71,,,,,,W,7.22
2015-04-21,10.70,16.02,23.30,84.75,,,,,,W,9.46
2015-04-22,9.60,15.93,22.60,80.50,,,,,,W,11.94
2015-04-23,9.80,15.98,23.20,82.54,,,,,,SE,17.24
2015-04-24,10.60,17.14,25.60,74.00,,,,,,ESE,19.30
2015-04-25,9.70,15.50,23.30,80.79,,,,,,W,11.93
2015-04-26,8.30,15.26,22.90,83.54,,,,,,SE,16.50
2015-04-27,8.20,15.20,22.50,83.62,,,,,,W,12.44
2015-04-28,9.50,17.09,26.00,74.17,,,,,,W,11.99
2015-04-29,12.70,17.00,25.30,80.50,,,,,,W,10.06
2015-04-30,12.40,15.37,20.90,88.21,,,,,,W,10.48
2015-05-01,11.20,15.34,20.50,86.75,0.00,,,,,W,12.35
2015-05-02,10.80,15.12,21.60,85.58,6.40,,,,,W,11.82
2015-05-03,10.60,15.73,22.30,83.92,1.60,,,,,SE,16.10
2015-05-04,9.30,14.70,21.20,85.08,0.20,,,,,SSE,14.70
2015-05-05,8.60,14.92,23.20,78.38,2.00,,,,,W,11.29
2015-05-06,7.00,14.71,23.30,72.08,0.00,,,,,W,13.63
2015-05-07,7.20,14.23,22.20,77.12,0.00,,,,,W,12.90
2015-05-08,8.20,15.02,21.70,79.38,0.00,,,,,W,13.79
2015-05-09,10.10,16.75,24.70,78.25,0.20,,,,,SE,26.38
2015-05-10,10.70,16.41,23.30,83.33,1.20,,,,,SE,13.68
2015-05-11,11.20,16.38,23.90,83.79,0.20,,,,,SE,16.09
2015-05-12,10.30,16.70,24.00,79.75,0.00,,,,,SE,15.40
2015-05-13,10.60,16.75,24.30,77.00,0.00,,,,,SE,23.89
2015-05-14,10.30,15.49,24.10,81.04,4.20,,,,,W,9.93
2015-05-15,8.80,14.62,21.70,83.25,3.20,,,,,W,12.08
2015-05-16,10.00,14.88,19.90,89.04,0.20,,,,,W,8.30
2015-05-17,10.50,15.74,22.00,84.58,0.00,,,,,W,9.44
2015-05-18,9.10,15.62,22.30,81.00,0.00,,,,,W,11.02
2015-05-19,11.50,15.01,21.70,86.67,33.00,,,,,W,12.90
2015-05-20,9.80,14.77,21.80,88.33,0.40,,,,,SE,15.03
2015-05-21,10.20,16.14,23.10,82.67,0.20,,,,,W,14.50
2015-05-22,11.30,16.47,23.80,79.67,2.60,,,,,W,10.83
2015-05-23,13.70,16.22,21.60,82.88,7.60,,,,,ENE,14.10
2015-05-24,11.60,15.65,22.40,86.88,16.80,,,,,W,11.70
2015-05-25,11.60,15.90,22.70,85.75,0.00,,,,,W,11.06
2015-05-26,10.50,16.18,23.10,84.08,0.40,,,,,W,11.29
2015-05-27,11.20,16.23,23.60,80.79,0.20,,,,,ESE,14.77
2015-05-28,9.20,15.61,22.30,76.88,0.00,,,,,W,12.90
2015-05-29,8.50,14.67,20.40,80.96,0.00,,,,,W,11.30
2015-05-30,9.20,15.25,22.10,78.38,0.00,,,,,ESE,20.10
2015-05-31,9.70,15.72,22.40,80.50,0.00,,,,,ESE,17.97
2015-06-01,10.40,15.99,23.20,84.71,0.80,,,,,WSW,11.62
2015-06-02,11.30,15.15,22.90,87.75,16.60,,,,,SE,17.17
2015-06-03,9.90,15.04,22.70,86.62,10.80,,,,,SE,13.28
2015-06-04,10.20,15.58,21.70,87.08,12.80,,,,,SE,16.63
2015-06-05,13.20,15.23,19.20,92.75,16.80,,,,,W,6.13
2015-06-06,13.30,15.13,19.80,92.71,32.80,,,,,W,7.13
2015-06-07,10.00,15.35,20.80,86.42,0.00,,,,,W,10.32
2015-06-08,10.10,15.07,21.80,85.54,8.00,,,,,SSE,15.68
2015-06-09,11.40,14.84,20.30,94.79,19.40,,,,,SE,9.41
2015-06-10,11.80,14.64,18.30,95.38,16.80,,,,,SE,12.19
2015-06-11,11.60,14.31,16.80,95.04,7.20,,,,,W,7.78
2015-06-12,12.40,14.95,19.70,93.38,20.60,,,,,W,10.00
2015-06-13,12.60,15.49,20.30,91.50,4.40,,,,,ENE,2.80
2015-06-14,10.80,15.45,22.10,90.50,0.20,,,,,SSE,14.01
2015-06-15,10.90,16.52,24.40,85.38,3.20,,,,,ESE,20.50
2015-06-16,11.40,15.96,23.60,86.50,34.40,,,,,W,10.94
2015-06-17,12.20,17.00,23.90,80.62,2.60,,,,,W,11.29
2015-06-18,10.10,16.79,24.40,74.67,0.00,,,,,SE,17.29
2015-06-19,11.80,16.87,23.90,74.46,0.00,,,,,W,11.30
2015-06-20,11.70,17.05,23.90,71.67,0.00,,,,,NNE,24.13
2015-06-21,9.10,16.56,23.40,62.75,0.00,,,,,SE,20.50
2015-06-22,8.50,15.81,23.10,65.83,0.00,,,,,ESE,23.80
2015-06-23,8.80,15.55,22.00,63.67,0.00,,,,,SE,30.26
2015-06-24,9.10,15.90,22.50,73.67,0.00,,,,,NE,27.34
2015-06-25,10.40,16.37,22.90,76.58,0.00,,,,,NE,24.78
2015-06-26,11.20,17.41,23.40,73.83,0.00,,,,,NE,23.87
2015-06-27,10.80,17.29,25.40,65.33,0.00,,,,,ENE,16.50
2015-06-28,8.10,15.63,23.20,71.38,0.00,,,,,ESE,12.86
2015-06-29,10.60,15.72,23.40,78.83,0.40,,,,,W,12.37
2015-06-30,10.70,16.70,22.20,74.83,0.00,,,,,ENE,20.50
2015-07-01,9.30,15.52,22.40,69.50,0.00,,,,,SE,24.81
2015-07-02,8.20,15.84,23.60,73.83,0.00,,,,,SSE,20.21
2015-07-03,10.60,17.08,24.90,74.42,0.00,,,,,ENE,19.30
2015-07-04,10.90,16.77,23.00,67.67,0.00,,,,,SE,24.55
2015-07-05,9.40,16.12,22.20,75.83,0.00,,,,,E,25.10
2015-07-06,10.20,15.80,23.60,77.67,1.80,,,,,W,12.10
2015-07-07,9.50,14.46,20.70,76.29,0.40,,,,,W,11.57
2015-07-08,7.10,14.57,21.60,64.50,0.00,,,,,W,13.17
2015-07-09,12.60,15.38,20.20,77.75,2.80,,,,,ENE,20.26
2015-07-10,12.10,14.42,17.20,86.21,5.80,,,,,E,17.72
2015-07-11,12.70,15.52,20.60,80.71,2.40,,,,,ENE,18.23
2015-07-12,10.40,16.44,23.20,63.50,0.00,,,,,NE,18.02
2015-07-13,8.20,14.77,22.40,78.08,9.20,,,,,ESE,20.92
