Día,"Temp. Min. Abs. (°C)","Temp. Prom (°C)","Temp. Max Abs. (°C)","Hum. (%)","Precipitacion (mm)","Rad. Solar (W/m2)","Rad. Solar Max Abs.(W/m2)","Indice UV (Unidad)","Indice UV Max Abs. (Unidad)","Direccion Viento Max","Velocidad Viento Max. (km/h)"
2017-01-01,5.70,12.82,21.60,79.83,0.20,,,,,WSW,14.82
2017-01-02,5.40,13.14,22.30,78.33,0.00,,,,,WSW,14.08
2017-01-03,5.90,12.56,21.20,81.17,0.00,,,,,WSW,15.62
2017-01-04,2.90,12.00,22.40,64.54,0.00,,,,,WSW,16.37
2017-01-05,7.60,13.60,20.90,82.88,0.00,,,,,WSW,13.21
2017-01-06,7.10,13.02,19.70,87.75,0.00,,,,,WSW,11.14
2017-01-07,7.40,14.23,20.40,71.04,0.00,,,,,ENE,34.62
2017-01-08,11.50,13.96,17.40,67.88,0.00,,,,,NE,45.07
2017-01-09,6.20,12.92,18.60,46.29,0.00,,,,,ENE,28.32
2017-01-10,4.60,12.32,21.30,63.96,0.00,,,,,ENE,25.32
2017-01-11,3.10,11.42,20.90,64.83,0.00,,,,,WSW,14.61
2017-01-12,5.50,12.35,21.70,71.12,0.00,,,,,WSW,15.37
2017-01-13,3.50,12.20,21.60,59.12,0.00,,,,,WSW,15.87
2017-01-14,11.30,14.13,19.10,65.25,0.00,,,,,ENE,35.40
2017-01-15,3.60,12.59,20.30,71.25,0.00,,,,,WSW,16.10
2017-01-16,6.30,12.01,19.10,79.83,0.00,,,,,WSW,15.03
2017-01-17,5.10,11.71,20.70,77.42,0.00,,,,,WSW,13.86
2017-01-18,6.00,12.61,20.60,82.83,0.00,,,,,WSW,13.77
2017-01-19,6.00,12.37,19.90,82.08,2.40,,,,,WSW,14.64
2017-01-20,7.30,12.76,19.20,88.21,1.80,,,,,WSW,11.04
2017-01-21,7.40,11.65,15.50,93.83,0.60,,,,,WSW,12.35
2017-01-22,6.70,12.51,19.90,84.79,0.20,,,,,WSW,13.29
2017-01-23,3.60,12.75,22.70,54.83,0.00,,,,,WSW,15.30
2017-01-24,2.40,10.98,20.90,57.12,0.00,,,,,WSW,18.28
2017-01-25,4.70,11.70,23.40,71.00,0.00,,,,,WSW,16.67
2017-01-26,1.80,11.77,20.70,65.29,0.00,,,,,WSW,16.25
2017-01-27,2.60,11.80,21.90,72.12,0.00,,,,,WSW,15.03
2017-01-28,5.00,12.84,23.00,74.46,0.00,,,,,WSW,14.94
2017-01-29,5.70,13.18,20.10,69.12,0.00,,,,,WSW,13.17
2017-01-30,6.80,13.68,19.80,67.21,0.00,,,,,ENE,25.06
2017-01-31,5.40,12.48,21.10,77.67,0.00,,,,,WSW,14.34
2017-02-01,6.10,12.86,21.70,79.21,0.20,,,,,WSW,13.02
2017-02-02,5.40,13.24,21.00,69.96,0.00,,,,,WSW,13.59
2017-02-03,9.60,14.58,20.80,62.42,0.00,,,,,ENE,29.29
2017-02-04,9.00,14.60,19.70,65.71,0.00,,,,,ENE,33.99
2017-02-05,12.30,15.22,20.40,71.08,0.00,,,,,E,21.30
2017-02-06,8.20,14.90,22.40,72.88,0.00,,,,,ENE,16.74
2017-02-07,5.70,12.60,21.00,77.46,0.00,,,,,WSW,15.61
2017-02-08,6.90,13.42,21.30,83.75,0.00,,,,,ESE,16.63
2017-02-09,7.50,14.80,22.80,74.62,0.00,,,,,SE,16.42
2017-02-10,12.00,15.34,20.30,68.93,0.00,,,,,NE,30.13
2017-02-11,6.70,14.54,21.60,69.17,0.00,,,,,NE,24.12
2017-02-12,2.00,11.76,21.70,61.38,0.00,,,,,WSW,14.97
2017-02-13,5.00,12.22,20.70,74.75,0.00,,,,,WSW,14.68
2017-02-14,4.70,11.29,17.70,81.71,0.00,,,,,WSW,14.14
2017-02-15,7.10,12.95,19.80,82.92,0.00,,,,,WSW,11.44
2017-02-16,6.40,13.03,19.80,83.75,0.00,,,,,WSW,13.38
2017-02-17,11.20,13.53,17.70,89.04,0.00,,,,,WSW,9.64
2017-02-18,8.40,13.31,19.20,89.50,0.20,,,,,WSW,10.36
2017-02-19,8.80,14.00,20.70,87.04,0.00,,,,,SE,14.16
2017-02-20,8.30,13.40,21.10,87.12,0.00,,,,,WSW,12.75
2017-02-21,7.70,13.19,20.30,85.00,0.00,,,,,WSW,12.09
2017-02-22,6.50,12.69,19.20,87.42,0.00,,,,,WSW,14.50
2017-02-23,9.90,14.35,20.30,85.79,0.00,,,,,W,9.96
2017-02-24,7.00,12.90,18.70,87.67,0.00,,,,,WSW,13.26
2017-02-25,7.60,14.22,21.70,81.38,0.00,,,,,WSW,12.19
2017-02-26,7.70,14.80,21.10,77.12,0.00,,,,,ESE,15.70
2017-02-27,5.70,13.14,21.60,73.62,0.00,,,,,ESE,20.37
2017-02-28,5.00,13.56,22.80,68.62,0.00,,,,,WSW,13.29
2017-03-01,7.30,14.48,22.80,78.79,0.00,,,,,WSW,14.01
2017-03-02,5.60,14.20,22.60,66.17,0.00,,,,,WSW,15.03
2017-03-03,11.60,14.30,20.30,58.54,0.00,,,,,ENE,46.90
2017-03-04,10.70,13.84,19.30,60.50,0.00,,,,,ENE,46.70
2017-03-05,8.30,13.80,18.90,63.25,0.00,,,,,ENE,33.80
2017-03-06,5.00,12.49,20.90,70.46,0.00,,,,,WSW,15.83
2017-03-07,5.40,13.54,22.90,73.96,0.00,,,,,WSW,13.38
2017-03-08,6.40,14.05,21.50,69.79,0.00,,,,,WSW,14.23
2017-03-09,5.20,14.22,23.20,59.92,0.00,,,,,ENE,28.58
2017-03-10,5.30,14.13,23.10,75.67,5.00,,,,,SE,18.50
2017-03-11,7.40,14.37,21.80,80.71,0.00,,,,,WSW,12.54
2017-03-12,9.20,14.77,20.80,84.87,0.80,,,,,ESE,18.98
2017-03-13,9.70,14.32,20.60,87.92,0.40,,,,,WSW,11.09
2017-03-14,10.10,14.55,18.70,79.71,0.20,,,,,ENE,25.76
2017-03-15,11.20,16.10,23.20,68.38,0.00,,,,,NE,21.24
2017-03-16,9.70,14.75,21.90,70.88,0.00,,,,,NE,17.98
2017-03-17,5.80,13.98,22.20,71.08,0.00,,,,,NE,25.44
2017-03-18,6.20,13.36,22.50,72.67,0.00,,,,,WSW,12.54
2017-03-19,6.80,14.81,23.10,60.25,0.00,,,,,ENE,18.88
2017-03-20,4.10,12.85,22.70,65.29,0.00,,,,,WSW,13.70
2017-03-21,7.40,13.63,21.40,82.21,17.80,,,,,WSW,11.82
2017-03-22,7.10,13.52,20.40,79.79,0.20,,,,,SE,19.62
2017-03-23,5.00,12.48,20.70,72.79,0.00,,,,,WSW,14.14
2017-03-24,5.60,12.52,20.70,79.71,0.00,,,,,WSW,12.89
2017-03-25,7.10,12.98,20.30,80.92,0.00,,,,,WSW,12.01
2017-03-26,6.00,13.05,21.50,79.42,0.00,,,,,WSW,13.41
2017-03-27,7.90,14.02,21.60,84.54,0.00,,,,,WSW,13.61
2017-03-28,10.10,13.97,19.80,90.08,0.00,,,,,WSW,9.20
2017-03-29,9.70,14.42,19.20,89.25,0.40,,,,,WSW,11.00
2017-03-30,9.60,13.47,18.90,93.25,0.60,,,,,WSW,12.19
2017-03-31,8.80,14.82,22.70,86.29,0.00,,,,,WSW,12.61
2017-04-01,8.70,14.38,21.20,86.12,0.20,,,,,WSW,12.88
2017-04-02,5.50,13.83,22.00,74.25,0.00,,,,,WSW,14.37
2017-04-03,6.50,13.97,22.60,73.75,0.00,,,,,WSW,14.90
2017-04-04,9.00,15.57,24.10,78.96,0.00,,,,,WSW,13.54
2017-04-05,11.90,16.23,23.30,84.38,0.00,,,,,WSW,9.24
2017-04-06,9.20,16.77,24.60,65.50,0.00,,,,,WSW,11.74
2017-04-07,10.80,17.71,23.70,56.75,0.00,,,,,ENE,29.96
2017-04-08,6.80,15.20,24.70,68.12,0.00,,,,,ESE,21.28
2017-04-09,6.30,14.34,22.80,72.04,0.00,,,,,WSW,13.05
2017-04-10,6.30,14.12,21.90,72.25,0.00,,,,,WSW,12.62
2017-04-11,6.00,13.34,21.90,71.88,0.00,,,,,ESE,19.50
2017-04-12,6.20,14.31,21.50,64.79,0.00,,,,,NE,22.76
2017-04-13,6.50,14.30,22.40,72.92,0.00,,,,,WSW,12.37
2017-04-14,6.70,14.61,22.60,72.83,0.00,,,,,WSW,11.55
2017-04-15,7.60,14.76,22.50,72.46,0.00,,,,,WSW,12.19
2017-04-16,6.30,14.24,22.70,76.54,2.00,,,,,ESE,14.04
2017-04-17,9.40,14.91,21.60,82.58,0.20,,,,,WSW,11.62
2017-04-18,8.60,13.02,20.30,86.38,1.60,,,,,WSW,13.24
2017-04-19,7.60,14.20,22.20,78.17,0.00,,,,,WSW,13.30
2017-04-20,8.30,13.58,20.40,82.46,0.00,,,,,WSW,13.09
2017-04-21,6.40,13.40,21.30,76.25,0.00,,,,,WSW,11.39
2017-04-22,8.20,14.17,21.10,80.92,0.00,,,,,WSW,11.92
2017-04-23,9.20,14.80,21.20,85.33,1.20,,,,,WSW,9.82
2017-04-24,10.10,14.70,20.90,87.12,1.40,,,,,WSW,10.92
2017-04-25,10.30,15.23,21.10,86.58,0.00,,,,,WSW,10.18
2017-04-26,11.50,15.55,21.60,85.62,0.00,,,,,SSE,18.50
2017-04-27,11.10,16.32,23.30,88.38,0.00,,,,,E,9.34
2017-04-28,10.80,16.23,23.80,82.75,0.00,,,,,WSW,12.29
2017-04-29,10.70,16.24,22.10,84.79,0.00,,,,,ESE,16.50
2017-04-30,12.20,16.94,24.50,87.54,9.20,,,,,ESE,14.08
2017-05-01,11.60,16.06,22.20,85.67,1.80,,,,,ESE,13.28
2017-05-02,10.30,16.72,25.30,79.79,0.40,,,,,WSW,10.48
