Día,"Temp. Min. Abs. (°C)","Temp. Prom (°C)","Temp. Max Abs. (°C)","Hum. (%)","Precipitacion (mm)","Rad. Solar (W/m2)","Rad. Solar Max Abs.(W/m2)","Indice UV (Unidad)","Indice UV Max Abs. (Unidad)","Direccion Viento Max","Velocidad Viento Max. (km/h)"
2016-08-30,16.80,22.61,25.20,71.31,6.80,610.42,1209.00,6.02,11.30,NE,9.13
2016-08-31,15.50,19.35,25.90,84.67,18.20,250.42,1129.00,2.55,11.70,SW,19.66
2016-09-01,15.90,20.07,25.30,85.00,0.40,249.54,1125.00,2.48,11.90,SW,9.06
2016-09-02,17.10,19.64,26.70,85.71,11.20,165.38,1202.00,1.78,13.10,S,16.12
2016-09-03,16.40,18.15,20.70,87.67,0.40,91.12,503.00,1.13,6.50,SSW,8.03
2016-09-04,15.90,18.76,23.60,81.33,0.00,114.29,436.00,1.25,5.20,SW,9.67
2016-09-05,16.10,20.25,27.80,77.88,0.20,268.12,1113.00,2.75,12.00,WSW,9.42
2016-09-06,15.80,20.39,26.80,78.46,31.60,261.50,1274.00,2.58,13.60,E,19.62
2016-09-07,16.00,20.95,26.50,67.71,0.80,283.38,981.00,2.75,11.60,E,29.92
2016-09-08,13.80,19.91,26.40,65.88,0.00,284.96,1016.00,2.65,11.50,W,13.54
2016-09-09,14.80,19.69,26.10,74.50,0.00,251.46,1021.00,2.54,11.80,SW,11.89
2016-09-10,16.00,19.65,26.20,82.25,4.20,214.71,1148.00,2.26,12.50,SSW,9.86
2016-09-11,15.40,19.67,25.70,83.08,7.40,266.54,1141.00,2.56,12.50,SSW,9.25
2016-09-12,15.80,19.29,24.20,84.75,0.60,230.04,1164.00,2.25,13.00,SW,12.90
2016-09-13,16.10,19.35,23.30,85.29,0.00,166.04,1174.00,1.88,12.00,SSW,9.36
2016-09-14,16.70,20.23,25.90,83.42,6.80,231.79,1162.00,2.35,12.80,SSW,8.03
2016-09-15,17.10,19.69,24.10,86.25,2.40,130.50,930.00,1.58,10.90,SSW,8.01
2016-09-16,17.10,20.38,27.30,81.46,0.00,249.08,1095.00,2.62,12.10,SSW,9.44
2016-09-17,16.00,20.68,26.70,76.62,4.20,204.33,1216.00,2.19,12.90,SSW,8.57
2016-09-18,16.40,20.27,26.90,77.38,9.20,184.83,1181.00,2.04,13.40,,0.00
2016-09-19,14.90,21.36,27.70,69.17,0.00,258.83,1025.00,2.54,11.60,E,25.32
2016-09-20,15.80,20.07,26.60,79.21,47.40,211.33,1338.00,2.17,12.50,NNE,12.10
2016-09-21,15.60,19.15,25.00,82.79,1.20,215.46,1429.00,2.30,14.20,SW,12.19
2016-09-22,15.30,19.63,26.60,80.62,0.60,202.88,1245.00,2.15,12.90,SW,9.90
