"Autoridad Para el Manejo Sustentable de la Cuenca del Lago Atitlan y su Entorno (AMSCLAE)"
"Departamento de Investigacion y Calidad Ambiental (DICA)"
"Estacion Climatica de"
"San Lucas Toliman"
2018
"  "
Mes,"Temp. Min. Abs. (°C)","Temp. Prom (°C)","Temp. Max Abs. (°C)","Hum. (%)","Precipitacion (mm)","Rad. Solar (W/m2)","Rad. Solar Max Abs.(W/m2)","Indice UV (Unidad)","Indice UV Max Abs. (Unidad)","Direccion Viento Max","Velocidad Viento Max. (km/h)"
2018-01-01,13.50,17.67,22.90,74.54,0.00,154.50,919.00,0.83,5.30,NNE,7.22
2018-01-02,15.40,18.20,22.30,67.96,0.00,141.79,875.00,0.78,4.90,NE,21.47
2018-01-03,14.80,17.61,22.60,72.62,0.00,127.12,919.00,0.72,5.00,E,19.96
2018-01-04,15.30,17.91,23.20,64.08,0.00,178.21,932.00,0.92,4.90,SW,27.35
2018-01-05,13.50,17.03,22.30,74.25,0.00,150.71,807.00,0.82,4.70,ENE,14.82
2018-01-06,13.70,16.92,22.40,70.29,0.00,204.71,809.00,1.00,4.90,NNE,15.14
2018-01-07,12.10,16.02,21.70,65.00,0.00,204.29,777.00,1.00,4.80,SW,24.40
2018-01-08,9.50,16.02,21.90,77.79,0.00,201.29,777.00,0.94,4.70,SW,17.91
2018-01-09,12.60,16.35,22.60,74.21,0.00,189.79,772.00,0.89,4.60,SW,23.60
2018-01-10,11.80,16.05,21.10,83.04,0.00,179.08,868.00,0.80,4.50,ENE,5.60
2018-01-11,11.00,15.94,20.80,83.62,0.00,187.21,802.00,0.88,4.50,SW,17.94
2018-01-12,11.30,17.72,24.10,65.38,0.00,205.79,791.00,0.94,4.60,N,15.00
2018-01-13,13.50,17.05,22.90,65.38,0.00,173.46,847.00,0.85,4.70,N,22.82
2018-01-14,12.40,16.05,22.60,57.04,0.00,194.62,784.00,0.95,4.80,NNE,26.72
2018-01-15,12.30,16.23,22.60,59.79,0.00,195.62,768.00,0.93,4.60,N,19.30
2018-01-16,13.80,17.14,21.70,70.88,0.00,153.71,884.00,0.74,4.80,E,22.28
2018-01-17,14.40,17.35,22.20,63.46,0.00,198.50,858.00,1.01,5.10,NE,28.53
2018-01-18,14.20,16.88,20.40,59.96,0.00,144.33,1027.00,0.80,6.10,NNE,24.67
2018-01-19,14.70,17.89,22.00,65.96,0.00,126.12,837.00,0.78,5.20,E,38.96
2018-01-20,14.60,18.86,23.50,69.00,0.00,205.83,791.00,1.03,5.10,NNE,24.92
2018-01-21,15.70,19.38,23.80,75.50,0.00,202.71,784.00,1.04,5.00,E,12.37
2018-01-22,14.00,18.22,23.00,80.12,0.00,208.79,823.00,1.02,5.10,SW,22.50
2018-01-23,13.50,18.75,24.20,66.33,0.00,149.88,979.00,0.87,6.00,NE,15.10
2018-01-24,16.20,19.18,23.40,63.67,0.00,208.33,930.00,1.06,5.50,NNE,28.04
2018-01-25,15.40,18.53,22.60,64.96,0.00,199.38,1086.00,1.05,6.00,ENE,24.39
2018-01-26,16.20,19.10,23.20,63.92,0.00,220.38,1164.00,1.08,6.20,NNE,27.08
2018-01-27,15.10,18.28,22.20,74.00,0.00,121.62,916.00,0.73,4.90,N,21.47
2018-01-28,14.10,19.42,25.30,69.04,0.00,217.12,949.00,1.12,5.70,SSE,22.92
2018-01-29,16.80,19.57,23.30,66.62,0.00,116.00,1071.00,0.75,6.30,NNE,21.90
2018-01-30,17.00,19.04,22.40,62.79,0.20,224.00,1090.00,1.17,6.10,N,52.83
2018-01-31,16.60,19.12,22.70,61.88,0.00,192.08,974.00,1.09,6.00,NE,40.65
2018-02-01,15.10,19.18,24.10,68.42,0.00,213.29,795.00,1.01,4.80,ENE,22.92
2018-02-02,14.70,19.77,25.70,60.96,0.00,213.92,851.00,1.11,5.50,ENE,23.69
2018-02-03,17.10,20.08,24.70,67.17,0.00,194.00,1121.00,1.05,6.60,N,25.74
2018-02-04,13.90,18.13,22.60,72.71,0.00,217.38,842.00,1.13,5.50,SW,21.88
2018-02-05,13.40,19.75,23.40,73.26,0.00,538.87,863.00,3.58,6.10,SSW,19.70
2018-02-06,15.20,19.50,25.20,65.96,0.00,236.04,956.00,1.30,6.40,E,36.17
2018-02-07,13.60,18.16,24.00,69.75,0.00,232.29,849.00,1.27,6.00,SW,26.58
2018-02-08,15.10,19.27,24.60,69.58,0.00,187.21,1204.00,1.20,7.60,NNE,26.53
2018-02-09,15.80,19.01,24.40,68.79,0.00,232.71,900.00,1.35,6.60,E,20.60
2018-02-10,13.80,17.88,23.30,75.12,0.00,227.21,846.00,1.27,6.20,N,8.02
2018-02-11,15.90,18.10,22.20,84.58,0.00,154.83,988.00,0.95,6.20,ENE,6.93
2018-02-12,14.90,19.74,24.80,66.46,0.00,196.79,1129.00,1.17,7.30,ENE,35.40
2018-02-13,17.30,19.77,23.80,63.46,0.00,175.83,1151.00,1.08,7.60,NE,32.41
2018-02-14,15.90,18.97,22.50,59.17,0.00,216.46,1062.00,1.28,7.30,NNE,40.65
2018-02-15,15.00,19.02,24.40,55.12,0.00,249.96,970.00,1.36,6.60,NE,35.00
2018-02-16,14.90,18.97,25.40,58.00,0.00,249.50,895.00,1.40,6.60,N,25.40
2018-02-17,13.80,18.50,23.20,65.12,0.00,246.42,984.00,1.30,6.80,NE,19.27
2018-02-18,13.80,18.18,23.50,73.50,0.00,197.12,1060.00,1.20,7.20,S,20.92
2018-02-19,14.40,17.87,22.30,74.21,0.00,239.96,914.00,1.37,6.80,S,22.55
2018-02-20,13.00,17.53,22.60,82.46,4.00,198.42,1005.00,1.13,6.00,SW,25.32
2018-02-21,14.10,18.04,22.30,83.21,0.00,250.62,988.00,1.44,7.10,SSW,12.40
2018-02-22,14.30,18.34,23.20,77.04,0.00,248.21,949.00,1.38,6.80,SSE,28.58
2018-02-23,13.70,18.49,24.30,68.71,0.00,262.29,1034.00,1.46,7.30,N,7.22
2018-02-24,14.40,17.51,21.20,80.62,0.00,119.17,1165.00,0.83,7.30,S,20.28
2018-02-25,12.40,16.49,22.30,85.46,1.40,248.71,1132.00,1.38,7.40,SSW,11.90
2018-02-26,11.80,16.73,21.90,81.58,0.20,257.54,963.00,1.49,7.20,WSW,16.10
2018-02-27,13.10,18.19,24.40,65.92,0.00,260.29,946.00,1.53,7.20,S,28.00
2018-02-28,12.60,17.22,22.30,70.54,0.00,254.88,1011.00,1.42,7.00,S,19.32
2018-03-01,12.60,17.12,22.80,80.92,0.00,218.88,993.00,1.31,7.00,NE,5.33
2018-03-02,12.10,18.09,23.60,79.46,0.00,266.08,951.00,1.49,7.10,S,25.53
2018-03-03,15.70,19.78,24.90,59.17,0.00,263.08,969.00,1.52,7.20,E,29.92
2018-03-04,13.90,18.75,24.60,65.62,0.00,265.96,937.00,1.55,7.10,E,19.87
2018-03-05,12.30,18.97,23.10,61.62,0.00,516.90,926.00,3.29,6.40,SSW,23.67
2018-03-06,11.70,17.60,23.10,69.00,0.00,259.96,923.00,1.32,6.20,SSW,17.08
2018-03-07,12.50,18.11,24.90,68.17,0.00,266.67,946.00,1.32,6.40,NNW,12.05
2018-03-08,15.10,19.60,25.10,53.29,0.00,267.58,930.00,1.32,6.20,NNE,29.92
2018-03-09,13.60,18.10,23.30,70.79,0.00,238.04,891.00,0.93,4.90,SW,24.68
2018-03-10,13.20,18.40,24.30,75.58,0.00,259.04,925.00,1.27,6.10,NNE,5.07
2018-03-11,13.90,19.60,25.80,72.04,0.00,271.70,912.00,1.39,6.30,E,10.64
2018-03-12,15.80,20.40,26.30,72.62,0.00,263.79,925.00,1.38,6.50,E,12.90
2018-03-13,17.30,20.04,26.70,76.08,0.00,240.92,1027.00,1.38,7.10,SSE,26.15
2018-03-14,15.70,19.98,24.70,73.29,0.00,228.29,1153.00,1.24,7.00,E,8.57
2018-03-15,16.30,19.65,24.40,76.25,0.00,243.38,1137.00,1.40,7.80,S,17.27
2018-03-16,15.10,19.21,23.80,80.83,0.00,255.12,1032.00,1.50,7.20,S,18.11
2018-03-17,14.30,18.79,23.40,83.96,0.00,222.29,1104.00,1.26,7.40,SSE,19.07
2018-03-18,14.70,19.19,24.20,84.79,0.00,235.62,1002.00,1.27,6.70,SSE,22.18
2018-03-19,15.60,19.34,23.90,85.67,0.00,230.88,1037.00,1.22,6.60,WSW,11.65
2018-03-20,15.00,18.66,23.80,86.67,0.00,216.67,1046.00,1.18,6.70,S,19.85
2018-03-21,14.90,20.63,24.80,67.25,0.00,273.96,937.00,1.46,6.80,N,20.37
2018-03-22,17.40,20.99,26.20,52.71,0.00,232.79,947.00,1.35,6.90,NNW,23.67
2018-03-23,16.30,19.50,25.00,60.71,0.00,169.54,1222.00,0.95,7.80,NE,28.04
2018-03-24,15.20,18.58,23.30,75.75,0.00,224.17,1125.00,1.20,6.90,S,24.44
2018-03-25,13.40,18.38,23.70,76.21,0.00,275.67,944.00,1.44,6.70,E,11.30
