Día,"Temp. Min. Abs. (°C)","Temp. Prom (°C)","Temp. Max Abs. (°C)","Hum. (%)","Precipitacion (mm)","Rad. Solar (W/m2)","Rad. Solar Max Abs.(W/m2)","Indice UV (Unidad)","Indice UV Max Abs. (Unidad)","Direccion Viento Max","Velocidad Viento Max. (km/h)"
2019-01-01,15.30,19.74,25.80,58.54,0.00,200.38,786.00,1.01,4.90,NE,35.83
2019-01-02,15.80,18.68,22.60,73.21,0.00,193.00,838.00,0.98,5.10,NE,25.75
2019-01-03,14.20,17.54,24.70,79.21,0.00,187.79,879.00,0.99,5.40,NE,9.96
2019-01-04,12.40,17.49,23.80,78.83,0.00,205.42,777.00,1.05,5.10,ENE,13.52
2019-01-05,15.10,19.06,24.30,68.75,0.00,196.42,770.00,1.04,5.10,NE,23.72
2019-01-06,13.90,17.71,23.30,74.29,0.00,146.88,921.00,0.85,5.50,NNE,11.55
2019-01-07,12.60,16.16,20.80,81.42,0.60,155.71,912.00,0.84,5.10,SW,12.30
2019-01-08,12.10,16.65,21.60,75.50,0.20,224.00,960.00,1.13,5.90,ENE,23.18
2019-01-09,12.70,17.20,21.60,76.83,0.00,104.50,1014.00,0.74,5.80,N,20.37
2019-01-10,13.20,17.27,20.90,74.08,0.00,114.96,1030.00,0.73,6.20,NNE,19.30
2019-01-11,13.10,16.62,22.40,78.38,0.00,182.83,877.00,1.00,5.50,S,24.15
2019-01-12,12.70,16.32,20.70,83.83,0.00,188.62,833.00,1.00,5.20,S,17.06
2019-01-13,12.80,17.64,22.50,67.29,0.00,212.04,798.00,1.13,5.50,ENE,26.08
2019-01-14,14.70,17.77,22.10,66.08,0.00,150.46,1065.00,0.96,6.60,N,17.70
2019-01-15,14.40,18.15,23.80,63.29,0.00,195.58,995.00,1.09,5.90,NNE,27.08
2019-01-16,14.60,18.51,23.70,67.62,0.00,152.54,933.00,0.92,5.90,NNE,20.67
2019-01-17,14.60,18.50,24.00,66.46,0.00,181.17,969.00,1.01,5.70,NNE,34.07
2019-01-18,14.70,18.29,23.40,69.83,0.00,210.38,796.00,1.13,5.40,NNE,26.38
2019-01-19,12.70,16.29,21.20,79.25,0.00,186.62,844.00,1.02,5.50,NE,13.50
2019-01-20,12.80,17.92,22.10,65.83,0.00,215.88,895.00,1.13,5.90,NNE,36.75
2019-01-21,13.30,17.08,22.80,67.71,0.00,188.42,907.00,1.01,5.60,NE,25.47
2019-01-22,13.60,17.58,24.70,74.88,0.00,205.71,791.00,1.11,5.50,S,16.72
2019-01-23,11.50,16.59,22.10,81.79,0.00,197.17,788.00,1.04,5.20,SW,12.38
2019-01-24,12.70,18.12,22.70,74.50,0.00,209.08,786.00,1.09,5.30,SW,17.68
2019-01-25,13.80,18.24,23.40,72.21,0.00,205.79,796.00,1.08,5.40,ENE,14.45
2019-01-26,12.60,16.83,21.70,77.00,0.00,188.88,819.00,1.02,5.40,NNW,6.42
2019-01-27,12.60,17.09,21.60,86.58,0.00,166.12,997.00,0.89,5.60,SSW,7.89
2019-01-28,13.60,16.83,22.20,81.62,0.00,197.29,912.00,1.02,5.60,SSW,10.33
2019-01-29,12.30,16.45,21.60,81.42,0.00,207.38,831.00,1.09,5.50,SW,8.84
2019-01-30,12.90,16.64,21.90,68.79,0.00,216.21,847.00,1.14,5.50,NNW,12.56
2019-01-31,12.80,16.62,22.20,77.54,0.00,202.08,802.00,1.02,5.30,S,23.88
2019-02-01,12.70,16.38,21.40,80.62,0.00,181.50,872.00,0.98,5.30,NNW,5.26
2019-02-02,13.10,17.40,22.70,74.92,0.00,215.33,809.00,1.13,5.50,SSE,23.58
2019-02-03,11.90,16.72,21.60,78.54,0.00,210.50,877.00,1.17,5.80,S,19.02
2019-02-04,12.80,16.59,21.90,82.92,0.00,195.42,891.00,1.02,5.40,SSW,14.01
2019-02-05,12.70,17.41,22.80,80.04,0.00,234.08,882.00,1.73,9.70,SW,13.82
2019-02-06,12.40,17.57,23.60,76.67,0.00,238.79,947.00,2.26,10.90,SSW,11.92
2019-02-07,12.70,17.23,22.90,76.62,0.00,233.25,1020.00,2.22,10.80,NE,7.38
2019-02-08,14.20,18.77,25.00,58.50,0.00,237.21,1141.00,2.33,12.70,NE,29.77
2019-02-09,16.90,19.51,23.80,55.21,0.00,230.62,1183.00,2.33,13.00,NNE,37.81
2019-02-10,15.80,19.07,23.80,56.17,0.00,209.42,1095.00,2.20,12.10,NNE,35.93
2019-02-11,13.60,17.56,23.10,64.88,0.00,241.67,928.00,2.48,11.70,SSW,18.75
2019-02-12,13.10,17.70,23.80,75.71,0.00,226.83,1021.00,2.30,11.60,SSW,19.32
2019-02-13,14.60,18.88,24.80,68.75,0.00,238.79,914.00,2.39,11.20,SSW,17.93
2019-02-14,13.80,18.44,23.70,71.92,0.00,216.96,983.00,2.27,11.50,SW,25.44
2019-02-15,15.30,18.93,24.30,76.71,0.00,247.67,949.00,2.32,11.00,SSW,11.53
2019-02-16,13.60,17.77,23.20,84.17,1.00,178.62,1044.00,1.76,11.20,SSW,21.88
2019-02-17,14.00,17.91,22.90,83.04,0.00,222.04,1056.00,2.35,12.60,SW,18.34
2019-02-18,12.30,18.13,23.20,82.96,0.00,216.79,1162.00,2.23,12.80,SSW,16.42
2019-02-19,12.90,18.35,24.10,79.71,0.00,221.29,1021.00,2.26,12.00,S,26.72
2019-02-20,14.90,17.86,22.60,86.38,1.60,170.25,1090.00,1.78,12.10,SW,21.45
2019-02-21,14.60,17.37,21.70,90.29,0.20,146.17,962.00,1.59,11.20,WSW,12.90
2019-02-22,15.10,18.33,23.40,84.38,0.00,215.50,949.00,2.16,11.10,S,20.65
2019-02-23,15.90,18.43,23.30,86.71,0.00,154.67,1060.00,1.73,11.80,SSW,9.79
2019-02-24,15.80,19.60,24.00,77.29,0.00,237.92,1055.00,2.32,11.90,SSW,16.40
2019-02-25,17.20,20.67,25.80,56.12,0.00,230.12,1146.00,2.53,13.90,NNE,26.89
2019-02-26,15.40,19.30,25.60,59.17,0.00,272.62,983.00,2.67,12.20,NE,27.35
2019-02-27,13.90,18.08,23.80,65.46,0.00,252.12,947.00,2.43,11.40,E,20.26
2019-02-28,14.20,17.93,22.90,70.29,0.00,245.50,962.00,2.35,11.30,SSE,24.55
2019-03-01,14.70,18.27,23.40,76.92,0.00,213.50,1018.00,2.14,11.60,S,23.72
2019-03-02,13.80,18.33,23.20,75.00,0.00,267.83,1027.00,2.42,11.10,SSW,15.10
2019-03-03,14.20,18.82,24.20,71.50,0.00,249.42,983.00,2.37,11.60,SW,20.26
2019-03-04,14.70,18.75,23.30,79.12,0.00,241.92,1007.00,2.34,11.80,S,23.60
2019-03-05,15.80,20.79,26.20,59.54,0.00,227.12,1102.00,2.35,12.80,NE,27.66
