Día,"Temp. Min. Abs. (°C)","Temp. Prom (°C)","Temp. Max Abs. (°C)","Hum. (%)","Precipitacion (mm)","Rad. Solar (W/m2)","Rad. Solar Max Abs.(W/m2)","Indice UV (Unidad)","Indice UV Max Abs. (Unidad)","Direccion Viento Max","Velocidad Viento Max. (km/h)"
2014-03-04,11.50,16.49,19.00,71.83,0.00,587.42,1174.00,5.40,10.30,ENE,2.64
2014-03-05,9.80,12.55,18.40,88.46,0.60,129.42,1058.00,1.42,10.70,W,2.63
2014-03-06,8.80,13.16,19.10,84.46,1.40,139.96,1143.00,1.40,10.10,SSW,1.55
2014-03-07,9.90,13.06,18.30,83.83,3.40,131.50,1434.00,1.53,13.70,E,4.73
2014-03-08,9.30,13.53,20.80,85.46,2.80,255.00,1100.00,2.40,11.90,W,2.58
2014-03-09,9.70,14.01,20.40,86.61,0.00,191.83,1130.00,2.00,11.50,ENE,2.49
2014-03-10,10.10,14.69,21.40,81.50,0.00,196.96,1136.00,2.09,12.00,E,2.00
2014-03-11,9.90,14.12,20.60,85.67,0.00,158.33,1194.00,1.58,12.00,SW,1.85
2014-03-12,10.40,14.82,21.40,84.46,0.00,227.83,1072.00,2.19,11.20,E,3.74
2014-03-13,9.50,14.02,19.00,75.25,0.00,187.83,1238.00,2.05,12.80,NNW,7.30
2014-03-14,9.30,14.13,21.00,77.25,0.00,173.04,1209.00,1.84,12.50,E,2.66
2014-03-15,9.50,13.20,19.60,89.04,0.60,183.21,1157.00,1.89,12.20,ENE,2.81
2014-03-16,10.80,12.65,17.40,91.71,0.00,92.96,1083.00,1.00,10.80,SW,1.79
2014-03-17,9.10,14.23,21.10,86.08,0.00,235.08,1155.00,2.31,11.70,E,3.26
2014-03-18,9.80,13.24,18.20,88.29,0.00,85.96,1185.00,1.10,11.50,ENE,1.81
2014-03-19,8.80,14.86,21.50,76.54,0.20,290.88,993.00,2.65,11.50,E,5.78
2014-03-20,10.10,14.82,21.60,48.46,0.00,299.12,1009.00,2.64,11.40,E,6.97
2014-03-21,8.60,14.26,21.60,72.00,0.00,297.17,1000.00,2.68,11.60,ENE,3.80
2014-03-22,8.60,14.62,21.90,69.54,0.00,296.62,1013.00,2.70,11.70,SSW,1.87
2014-03-23,9.30,15.25,21.60,57.17,0.00,291.50,988.00,2.65,11.20,S,2.37
2014-03-24,11.30,15.96,22.30,48.50,0.00,296.71,1002.00,2.69,11.60,E,4.78
2014-03-25,9.40,15.16,22.40,70.71,0.00,288.38,1014.00,2.68,11.70,E,4.64
2014-03-26,10.30,15.39,22.10,71.75,0.00,277.92,1243.00,2.60,12.40,E,3.81
2014-03-27,9.20,14.89,22.10,75.92,0.00,275.88,998.00,2.60,11.60,SSW,2.00
2014-03-28,7.90,14.90,23.20,66.21,0.00,278.21,993.00,2.49,11.00,ENE,3.98
2014-03-29,8.90,16.13,23.90,51.58,0.00,291.04,1002.00,2.61,11.50,E,6.34
2014-03-30,9.40,15.02,21.40,56.54,0.00,291.38,998.00,2.62,11.30,ENE,6.21
2014-03-31,7.80,14.82,22.90,64.54,0.00,289.54,970.00,2.45,10.50,ENE,2.35
2014-04-01,10.10,14.55,21.80,78.45,1.00,228.64,986.00,1.96,10.70,E,3.98
2014-04-02,8.70,14.72,21.50,77.48,0.40,257.70,1102.00,2.21,9.90,ENE,2.42
2014-04-03,10.80,14.19,20.60,88.39,0.00,124.22,1137.00,1.63,12.10,E,1.20
2014-04-04,11.40,14.03,17.80,91.04,0.00,78.96,1035.00,0.96,7.90,ENE,2.90
2014-04-05,10.70,15.02,21.70,82.70,0.00,172.22,1179.00,1.90,11.70,ENE,3.60
2014-04-06,9.80,12.97,17.60,89.43,0.60,78.65,1039.00,0.81,9.90,WSW,1.48
2014-04-07,10.30,13.44,19.00,92.57,0.40,100.74,1192.00,1.20,12.40,W,2.83
2014-04-08,11.20,15.35,21.70,84.26,1.40,157.78,1118.00,1.70,11.40,ENE,4.80
2014-04-09,9.70,14.95,21.20,49.83,0.00,303.48,988.00,3.11,12.70,E,6.36
2014-04-10,8.80,14.97,22.80,48.30,0.00,300.43,977.00,2.80,11.50,E,3.57
2014-04-11,8.20,14.73,22.00,73.65,0.00,314.70,1007.00,3.04,12.50,E,3.80
2014-04-12,9.80,14.67,21.80,74.96,0.00,298.48,1025.00,2.82,11.80,ENE,3.98
2014-04-13,8.90,14.65,22.20,66.39,0.00,305.91,969.00,2.74,10.90,ENE,2.35
2014-04-14,9.30,13.21,19.20,87.65,0.00,204.96,1164.00,1.90,11.20,W,2.08
2014-04-15,9.30,14.53,20.40,74.65,0.00,173.17,1063.00,1.83,10.80,ENE,7.12
2014-04-16,11.60,15.42,20.10,77.96,0.00,175.52,1239.00,1.93,12.40,ENE,2.63
2014-04-17,10.30,14.03,19.80,85.00,0.00,142.91,1155.00,1.38,10.10,ENE,2.90
2014-04-18,10.20,15.36,21.00,65.96,0.00,300.26,1150.00,2.60,11.70,ENE,5.76
2014-04-19,10.60,14.62,19.10,65.61,0.00,316.13,1143.00,2.76,12.00,E,2.53
2014-04-20,9.80,14.47,19.80,68.78,0.00,282.74,1243.00,2.50,12.60,E,3.03
2014-04-21,9.60,15.41,22.30,74.30,0.00,270.57,1165.00,2.45,12.20,E,1.02
2014-04-22,10.10,15.00,21.20,80.87,2.20,188.39,1234.00,1.87,11.40,E,1.04
2014-04-23,10.40,14.62,19.70,84.04,0.20,136.04,1192.00,1.58,11.30,E,0.87
2014-04-24,10.40,14.25,20.00,85.52,0.00,100.39,949.00,1.03,8.10,E,0.62
2014-04-25,11.30,15.73,21.40,78.57,0.00,186.52,1071.00,1.92,10.80,E,0.89
2014-04-26,10.20,15.80,22.90,72.65,0.00,236.65,986.00,2.28,10.80,,0.00
2014-04-27,12.70,14.35,18.10,91.48,0.00,80.00,951.00,0.93,8.60,,0.00
2014-04-28,11.70,13.94,17.80,91.39,0.20,70.17,853.00,0.75,6.60,W,1.45
2014-04-29,11.90,15.66,22.10,85.35,0.00,151.52,1039.00,1.53,10.00,W,1.62
2014-04-30,11.20,15.20,24.10,83.78,47.40,191.39,981.00,1.95,10.70,SW,0.40
2014-05-01,11.10,13.96,20.00,92.09,22.20,115.87,1093.00,1.20,10.50,,0.00
2014-05-02,12.10,13.73,17.10,96.26,4.20,60.13,1241.00,0.76,12.30,,0.00
2014-05-03,11.80,14.83,19.00,85.70,0.40,164.61,1092.00,1.81,10.80,,0.00
2014-05-04,12.10,15.13,19.40,80.96,0.00,210.13,1287.00,2.34,14.50,W,0.96
2014-05-05,11.10,15.55,21.60,85.00,0.00,173.43,1280.00,2.17,14.30,SW,0.60
2014-05-06,10.80,15.00,21.60,88.57,5.80,186.61,1065.00,2.00,11.70,W,1.38
2014-05-07,11.70,14.86,19.10,93.26,0.20,91.57,1067.00,1.29,11.40,,0.00
2014-05-08,12.90,14.50,17.40,96.65,8.80,79.61,784.00,1.00,9.40,W,1.50
2014-05-09,12.30,15.27,19.80,93.09,0.00,145.83,1116.00,1.82,11.70,,0.00
2014-05-10,11.80,14.07,17.90,95.52,23.60,82.30,1274.00,1.08,12.10,,0.00
2014-05-11,11.80,13.99,18.00,92.91,4.40,64.39,933.00,0.71,9.00,,0.00
2014-05-12,11.90,13.85,16.40,96.78,4.20,74.74,654.00,0.90,4.70,,0.00
2014-05-13,11.80,13.77,17.10,94.17,23.60,84.35,1035.00,1.07,11.90,,0.00
2014-05-14,10.50,14.30,19.90,89.52,1.60,156.35,1060.00,1.52,10.80,WSW,0.50
2014-05-15,10.70,14.29,17.90,80.30,0.00,120.96,1137.00,1.36,11.60,N,3.02
2014-05-16,11.60,14.35,18.50,77.83,0.00,278.48,1204.00,2.64,13.10,ENE,1.86
2014-05-17,10.60,14.46,18.70,81.52,0.00,132.65,1014.00,1.51,9.90,,0.00
2014-05-18,10.60,14.82,21.00,87.04,3.40,213.91,1197.00,2.42,13.20,,0.00
2014-05-19,9.70,14.53,20.80,87.17,1.80,238.17,1276.00,2.47,12.80,SW,0.50
2014-05-20,11.50,15.08,19.00,88.13,0.00,119.83,1162.00,1.42,12.10,,0.00
2014-05-21,12.10,14.17,18.30,92.65,22.60,81.13,1172.00,1.04,10.90,,0.00
2014-05-22,11.40,14.28,18.90,92.17,18.00,126.35,1375.00,1.60,13.00,,0.00
2014-05-23,11.30,14.22,19.10,92.22,7.40,150.57,1296.00,1.72,13.40,E,0.85
2014-05-24,11.80,14.87,19.50,91.22,5.20,190.09,1137.00,2.17,12.60,SE,0.73
2014-05-25,11.10,14.31,19.60,92.13,7.80,115.78,1132.00,1.41,11.50,,0.00
2014-05-26,11.50,15.35,20.30,88.91,0.20,238.83,1222.00,2.43,12.40,,0.00
2014-05-27,11.20,15.12,20.90,90.57,7.60,211.17,1232.00,2.25,12.40,,0.00
2014-05-28,10.70,14.89,19.30,92.30,0.40,149.70,1121.00,1.68,11.40,,0.00
2014-05-29,12.30,14.24,18.70,93.30,2.20,106.39,1153.00,1.28,11.40,WNW,2.56
2014-05-30,10.80,14.86,19.70,89.48,8.60,232.43,1192.00,2.37,12.60,,0.00
2014-05-31,11.90,14.70,19.70,91.43,6.60,169.30,1382.00,1.99,14.30,,0.00
2014-06-01,11.70,13.87,20.20,94.96,14.60,110.30,1320.00,1.34,14.60,,0.00
2014-06-02,11.80,12.49,13.20,99.48,100.40,14.96,116.00,0.07,1.80,E,0.70
2014-06-03,12.00,12.90,14.70,98.78,21.40,45.61,446.00,0.58,6.30,W,3.48
2014-06-04,11.90,13.77,18.20,94.57,1.20,93.65,1035.00,1.11,9.50,WNW,1.54
2014-06-05,11.10,13.68,19.20,94.43,16.40,94.65,1102.00,1.30,11.80,,0.00
2014-06-06,11.90,12.34,13.20,99.43,0.00,13.71,141.00,0.04,0.80,,0.00
2014-07-01,10.70,14.03,18.90,88.74,17.20,114.48,993.00,1.38,10.50,E,0.83
2014-07-02,10.30,14.19,19.60,86.35,2.60,141.65,1197.00,1.61,11.20,,0.00
2014-07-03,9.90,14.14,18.50,87.70,0.60,156.30,1230.00,1.73,12.50,,0.00
2014-07-04,10.70,13.41,18.70,91.17,27.20,115.83,1025.00,1.40,13.60,,0.00
2014-07-05,10.40,14.25,18.60,83.43,0.20,274.74,1160.00,2.69,12.10,ENE,1.10
2014-07-06,10.60,14.01,19.20,87.26,6.80,153.17,1283.00,1.79,12.80,,0.00
