"Autoridad Para el Manejo Sustentable de la Cuenca del Lago Atitlan y su Entorno (AMSCLAE)"
"Departamento de Investigacion y Calidad Ambiental (DICA)"
"Estacion Climatica de"
"Santa Lucia Utatlan"
2016
"  "
Mes,"Temp. Min. Abs. (°C)","Temp. Prom (°C)","Temp. Max Abs. (°C)","Hum. (%)","Precipitacion (mm)","Rad. Solar (W/m2)","Rad. Solar Max Abs.(W/m2)","Indice UV (Unidad)","Indice UV Max Abs. (Unidad)","Direccion Viento Max","Velocidad Viento Max. (km/h)"
2016-01-01,10.90,14.39,20.40,67.83,0.00,209.00,902.00,1.58,7.60,ESE,21.55
2016-01-02,9.80,14.01,19.30,76.04,0.00,154.88,1056.00,1.33,8.90,ESE,17.01
2016-01-03,8.70,13.24,18.60,82.17,0.00,149.92,1093.00,1.19,8.50,SE,9.02
2016-01-04,8.70,12.57,18.50,78.08,0.00,172.71,1013.00,1.41,8.50,ESE,13.26
2016-01-05,9.10,12.47,19.30,82.96,0.00,149.08,1069.00,1.20,7.80,ESE,9.92
2016-01-06,8.70,12.74,18.70,86.79,0.00,140.38,1058.00,1.17,8.20,SE,5.25
2016-01-07,8.60,13.00,19.70,84.58,0.00,185.83,954.00,1.43,7.70,NNW,6.66
2016-01-08,8.40,13.40,19.70,83.42,0.00,205.96,902.00,1.58,7.70,WNW,5.77
2016-01-09,8.30,13.56,19.60,71.58,0.00,221.29,837.00,1.63,7.70,NNW,12.90
2016-01-10,8.90,12.82,19.20,78.38,0.00,171.00,997.00,1.34,8.30,SW,6.08
2016-01-11,8.90,13.32,19.80,80.50,0.00,215.71,925.00,1.64,8.20,SE,4.60
2016-01-12,8.40,12.85,19.50,82.92,0.00,199.54,835.00,1.62,7.90,SE,9.66
2016-01-13,8.00,12.34,17.80,81.75,0.00,193.08,984.00,1.60,9.00,ESE,13.46
2016-01-14,8.80,13.10,20.30,85.12,0.40,205.46,977.00,1.66,8.70,S,3.66
2016-01-15,9.50,13.69,19.30,86.62,0.00,200.33,916.00,1.62,8.30,SE,8.39
2016-01-16,9.90,15.00,21.30,74.12,0.00,230.29,828.00,1.88,8.30,WSW,6.20
2016-01-17,9.60,13.99,20.40,75.29,0.00,233.46,928.00,1.84,8.50,ESE,17.70
2016-01-18,7.90,12.95,20.80,78.71,0.00,231.54,842.00,1.81,8.40,SSW,5.60
2016-01-19,7.30,12.23,19.20,70.96,0.00,227.88,881.00,1.81,8.60,SE,8.43
2016-01-20,7.30,12.28,18.30,78.29,0.00,201.12,877.00,1.66,8.20,ESE,8.57
2016-01-21,10.40,14.31,20.60,72.71,0.00,117.92,1039.00,1.10,8.60,ESE,8.27
2016-01-22,10.10,13.94,20.20,69.04,0.00,180.12,969.00,1.52,8.50,NE,11.91
2016-01-23,8.90,13.37,19.80,74.88,0.00,200.62,940.00,1.61,8.40,ESE,11.26
2016-01-24,8.20,12.56,18.20,82.25,0.00,165.83,865.00,1.32,7.60,SE,5.20
2016-01-25,7.00,12.75,19.20,77.46,0.00,216.88,830.00,1.73,8.00,SSE,5.07
2016-01-26,9.20,14.28,22.20,62.04,0.00,232.67,842.00,1.98,9.00,NNW,10.60
2016-01-27,9.60,13.97,20.40,63.08,0.00,202.12,835.00,1.80,8.70,ESE,12.43
2016-01-28,9.00,13.85,21.00,77.46,0.00,212.38,942.00,1.75,8.80,SE,6.27
2016-01-29,8.10,13.07,18.00,87.04,0.00,108.25,1025.00,1.07,8.60,SE,6.28
2016-01-30,10.20,14.29,20.40,86.42,0.00,181.33,1044.00,1.52,8.70,NNW,8.03
2016-01-31,9.20,14.21,20.90,85.50,0.00,212.21,863.00,1.78,8.80,NW,8.04
2016-02-01,9.30,14.11,20.60,81.39,0.00,244.35,853.00,1.89,8.40,ESE,8.69
2016-02-02,7.30,12.58,18.20,83.62,0.00,164.46,979.00,1.41,8.80,WNW,4.57
2016-02-03,8.20,13.91,21.00,71.96,2.60,237.08,898.00,1.84,8.80,ESE,12.00
2016-02-04,9.30,13.45,19.30,74.12,0.00,225.71,1049.00,1.93,9.80,ESE,23.15
2016-02-05,8.50,12.95,19.60,63.92,0.00,258.17,925.00,2.05,9.20,ESE,18.39
2016-02-06,8.60,13.05,18.60,69.92,0.00,256.54,1088.00,2.08,9.50,ESE,18.25
2016-02-07,8.10,12.19,18.80,62.88,0.00,260.83,933.00,2.10,9.50,ESE,18.70
2016-02-08,7.70,12.99,31.30,64.12,0.00,207.67,911.00,1.77,9.00,SE,7.21
2016-02-09,6.70,11.53,18.30,61.00,0.00,251.67,940.00,1.95,9.00,ESE,15.73
2016-02-10,6.80,11.22,18.70,66.79,0.00,241.92,904.00,1.90,8.70,SE,5.61
2016-02-11,7.60,12.59,18.90,75.54,0.00,235.12,895.00,1.94,9.10,S,5.77
2016-02-12,8.40,11.63,15.70,77.88,0.00,250.79,893.00,1.96,8.80,ESE,13.21
2016-02-13,7.10,11.71,16.60,71.50,0.00,259.08,905.00,2.04,9.10,ESE,15.45
2016-02-14,8.70,12.30,17.10,78.75,0.00,152.83,1111.00,1.32,10.10,ESE,12.38
2016-02-15,8.50,13.73,20.70,79.17,0.00,203.54,1102.00,1.70,9.30,SE,6.09
2016-02-16,9.40,13.97,20.60,75.00,0.00,250.46,963.00,1.87,8.50,SE,7.63
2016-02-17,9.30,13.65,18.70,67.92,0.00,238.79,1058.00,1.90,8.40,ESE,20.90
2016-02-18,10.10,13.81,18.10,70.21,0.00,262.58,935.00,2.05,9.20,ESE,23.24
2016-02-19,9.10,12.99,17.90,77.54,0.00,266.50,1051.00,2.08,10.40,E,25.28
2016-02-20,8.20,12.27,18.20,71.58,0.00,242.83,1009.00,1.95,9.30,ESE,19.30
2016-02-21,6.90,13.04,20.20,76.00,0.00,242.58,933.00,2.00,9.30,SSE,6.41
2016-02-22,9.20,14.08,20.20,72.88,0.00,241.54,1013.00,1.91,9.40,SSE,8.30
2016-02-23,9.60,13.77,20.00,71.38,0.00,240.12,928.00,2.05,9.80,NW,11.05
2016-02-24,8.10,14.80,21.80,67.00,0.00,229.79,904.00,2.03,9.60,ESE,13.79
2016-02-25,10.20,13.49,18.80,76.12,0.00,253.79,926.00,2.35,10.50,E,21.97
2016-02-26,8.90,12.33,17.80,79.04,0.00,219.29,1034.00,2.22,11.20,ESE,13.14
2016-02-27,7.80,11.77,17.80,75.46,0.00,264.08,912.00,2.42,10.80,E,10.65
2016-02-28,6.90,12.90,20.20,78.92,0.00,215.46,1192.00,2.15,12.20,E,5.21
2016-02-29,8.50,13.68,20.80,79.88,0.00,257.46,921.00,2.35,10.60,SW,5.80
2016-03-01,8.60,14.41,20.90,61.26,0.00,246.30,981.00,2.24,10.50,ESE,14.20
2016-03-02,9.70,14.12,20.50,64.79,0.00,234.17,939.00,2.14,10.10,SE,9.40
2016-03-03,9.80,14.22,19.60,78.71,1.60,173.88,1063.00,1.80,11.10,ESE,11.26
2016-03-04,10.00,13.61,18.60,85.25,3.40,111.46,1121.00,1.48,11.60,NW,5.34
2016-03-05,10.30,13.47,20.20,88.58,8.60,130.04,1139.00,1.50,12.40,SE,3.43
2016-03-06,8.60,13.40,20.30,83.04,0.80,244.04,1151.00,2.48,13.20,NW,9.54
2016-03-07,9.50,13.08,18.40,81.21,0.00,156.83,1245.00,1.83,13.10,NW,11.77
2016-03-08,9.70,13.02,18.00,81.88,3.60,120.50,1267.00,1.70,13.80,NW,10.97
2016-03-09,9.70,12.95,17.40,79.58,0.00,124.83,1139.00,1.69,13.40,NW,13.75
