"Autoridad Para el Manejo Sustentable de la Cuenca del Lago Atitlan y su Entorno (AMSCLAE)"
"Departamento de Investigacion y Calidad Ambiental (DICA)"
"Estacion Climatica de"
"Santiago Atitlan"
2019
"  "
Mes,"Temp. Min. Abs. (°C)","Temp. Prom (°C)","Temp. Max Abs. (°C)","Hum. (%)","Precipitacion (mm)","Rad. Solar (W/m2)","Rad. Solar Max Abs.(W/m2)","Indice UV (Unidad)","Indice UV Max Abs. (Unidad)","Direccion Viento Max","Velocidad Viento Max. (km/h)"
2019-06-14,,,,86.64,23.40,209.18,1113.00,1.64,7.50,SW,21.14
2019-06-15,,,,84.92,0.80,273.12,1162.00,1.88,9.40,W,5.26
2019-06-16,,,,85.96,2.80,250.88,1129.00,1.64,8.40,SSW,10.92
2019-06-17,,,,85.88,0.00,253.46,1257.00,1.58,9.30,S,10.15
2019-06-18,,,,83.12,0.00,306.71,1139.00,1.81,8.50,SW,22.70
2019-06-19,,,,83.38,0.00,260.42,1178.00,1.67,8.80,,0.00
2019-06-20,,,,81.00,2.80,215.71,1104.00,1.38,7.80,SW,24.14
2019-06-21,,,,83.38,47.00,199.04,1188.00,1.33,9.20,SSW,19.83
2019-06-22,,,,84.38,7.20,183.17,1259.00,1.29,9.80,S,12.33
2019-06-23,,,,86.67,10.80,232.88,1187.00,1.62,8.90,SW,19.76
2019-06-24,,,,80.25,0.20,261.88,1007.00,1.61,7.50,SW,22.77
2019-06-25,,,,83.04,0.00,283.12,1093.00,1.77,8.60,SSW,20.10
2019-06-26,,,,73.25,0.00,304.62,1069.00,1.89,8.40,SW,26.06
2019-06-27,,,,59.33,0.20,281.17,1215.00,1.79,8.90,NNE,29.23
2019-06-28,,,,58.96,0.00,228.42,1141.00,1.49,8.60,N,33.33
2019-06-29,,,,65.21,0.00,212.25,1232.00,1.51,9.20,NE,21.61
2019-06-30,,,,77.00,20.40,100.46,1092.00,0.79,8.10,N,19.30
2019-07-01,,,,76.33,0.00,187.29,805.00,1.22,5.00,NE,14.24
2019-07-02,,,,65.17,0.00,298.50,956.00,1.83,7.80,NE,22.31
2019-07-03,,,,55.50,0.00,247.96,933.00,1.55,7.40,NE,18.87
2019-07-04,,,,64.50,0.00,305.46,991.00,1.75,7.60,NE,16.42
2019-07-05,,,,61.38,0.00,503.67,962.00,2.95,7.10,NNE,21.56
2019-07-06,,,,61.38,0.00,302.33,977.00,1.72,7.40,NNE,25.10
2019-07-07,,,,72.88,5.60,205.29,1158.00,1.36,8.90,ENE,15.70
2019-07-08,,,,80.75,4.40,148.42,1303.00,1.26,9.40,SW,19.90
2019-07-09,,,,82.42,0.20,153.12,979.00,1.11,8.10,SW,13.09
2019-07-10,,,,81.67,2.00,245.67,1148.00,1.54,8.40,NE,10.48
2019-07-11,,,,76.96,0.00,280.92,1092.00,1.80,8.60,ENE,10.45
2019-07-12,,,,84.83,17.40,202.12,1234.00,1.43,8.60,SW,21.11
2019-07-13,,,,87.04,0.00,214.25,1100.00,1.46,8.90,SW,15.86
2019-07-14,,,,83.50,0.00,298.62,1090.00,1.83,8.40,WSW,20.69
2019-07-15,,,,78.25,2.60,291.42,1218.00,1.75,9.00,SW,20.20
2019-07-16,,,,72.00,4.00,183.96,1276.00,1.28,9.70,NNE,23.35
2019-07-17,,,,68.75,0.00,290.58,1060.00,1.95,8.90,SW,20.37
2019-07-18,,,,73.83,0.80,192.67,1114.00,1.26,8.40,NNE,18.50
2019-07-19,,,,72.29,0.00,258.46,1144.00,1.70,8.90,NE,16.90
2019-07-20,,,,73.38,0.00,239.71,991.00,1.54,7.40,NE,14.03
2019-07-21,,,,73.88,0.00,205.67,1104.00,1.48,8.70,NE,11.26
2019-07-22,,,,80.79,1.20,211.96,1111.00,1.40,8.40,WSW,26.98
2019-07-23,,,,83.58,0.00,217.21,1137.00,1.44,8.50,SSW,8.70
2019-07-24,,,,77.33,0.00,258.04,962.00,1.60,7.20,SSW,10.43
2019-07-25,,,,77.88,2.20,238.50,1165.00,1.60,8.80,SW,23.47
2019-07-26,,,,64.58,4.00,261.25,1257.00,1.70,9.20,ENE,22.36
2019-07-27,,,,58.54,0.00,260.71,1065.00,1.79,8.50,NE,27.15
2019-07-28,,,,62.38,1.40,263.08,1118.00,1.76,8.50,NE,23.96
2019-07-29,,,,57.96,0.20,286.88,939.00,1.89,8.20,NE,24.95
2019-07-30,,,,65.58,0.00,248.25,1157.00,1.71,8.60,N,28.97
2019-07-31,,,,71.79,0.00,229.54,1176.00,1.60,9.10,NE,22.82
2019-08-01,,,,73.83,0.00,287.88,1016.00,1.92,8.40,N,16.10
2019-08-02,,,,80.58,24.80,215.21,1032.00,1.55,8.60,SW,20.70
2019-08-03,,,,84.96,16.60,201.75,1167.00,1.55,9.40,SW,11.23
