dia,flujo
32014,48.53
42014,0
52014,20.96
62014,250
72014,21.55
82014,48.17
92014,153.01
102014,79.33
112014,25.54
122014,11.6
12015,15.95
22015,2.35
32015,1.1
42015,1.53
52015,6.71
62015,8.09
72015,1.34
82015,3.65
92015,21.11
102015,64.24
112015,23.43
122015,7.3
22016,2.17
32016,0
42016,0
52016,43.24
62016,18.62
72016,12.8
82016,18.81
92016,61.31
102016,25.77
112016,4.58
122016,2.43
22017,0
32017,0
42017,2.69
52017,11.71
62017,97.17
72017,19.54
82017,21.69
92017,35.66
102017,44.79
112017,21.13
122017,4.68
22018,2.39
32018,1.56
42018,10.37
52018,39.01
62018,113.83
72018,15.43
82018,25.35
92018,109.97
102018,11.55
112018,9.02
122018,14.57
