dia,flujo
32014,39.28
42014,0
52014,17.67
62014,168.83
72014,16.21
82014,7.05
92014,362.73
102014,28.69
112014,23.93
122014,16.23
12015,19.6
22015,10.98
32015,2.17
42015,4.14
52015,9.58
62015,22.47
72015,8.03
82015,6.23
92015,22.28
102015,28.53
112015,23.55
122015,9.14
22016,8.79
32016,1.05
42016,0.47
52016,16.42
62016,24.9
72016,10.65
82016,13.48
92016,27.66
102016,26.05
112016,12.09
122016,2.32
22017,0.03
32017,0.1
42017,2.02
52017,13.18
62017,104.03
72017,21.87
82017,21.25
92017,34.41
102017,28.34
112017,33.02
122017,9.54
22018,4.79
32018,4.69
42018,5.09
52018,25.52
62018,54.14
72018,19.9
82018,23.22
92018,43.27
102018,14.04
112018,31.2
122018,11.88
