dia,flujo
32014,70.68
42014,195.48
52014,895.32
62014,1296.83
72014,921.45
82014,708
92014,2212.35
102014,2184.08
112014,949.93
122014,1773.82
12015,1066.98
22015,645.79
32015,618.77
42015,257.24
52015,484.71
62015,907.74
72015,698.61
82015,520.37
92015,792.89
102015,2124.73
112015,993.53
122015,867.82
22016,956.04
32016,1568.12
42016,1858.65
52016,391.47
62016,1876.78
72016,667.71
82016,982.17
92016,1151.27
102016,833.03
112016,528.6
122016,590.86
22017,336.23
32017,458.7
42017,326.26
52017,576.69
62017,2173.01
72017,2642.95
82017,979.44
92017,2730.75
102017,2270.94
112017,1811.12
122017,671.83
22018,356.29
32018,419.85
42018,403.94
52018,585.53
62018,1516.68
72018,1396.33
82018,1168.27
92018,1822.33
102018,585.51
112018,1182.99
122018,1061.84
