dia	flujo						
032014	229.01						
042014	212.53						
052014	334.27						
062014	0.00						
072014	0.00						
082014	113.88						
092014	695.13						
102014	887.28						
112014	906.42						
122014	270.50						
012015	426.96						
022015	103.52						
032015	95.51						
042015	78.99						
052015	119.19						
062015	406.20						
072015	135.90						
082015	234.71						
092015	177.33						
102015	296.25						
112015	252.07						
122015	167.49						
012016	108.86						
022016	95.7						
032016	117.78						
042016	56.97						
052016	179.37						
062016	322.54						
072016	174.15						
082016	193.04						
092016	959.25						
102016	289.0						
112016	181.13						
122016	90.21						
022017	35.45						
032017	52.80						
042017	38.95						
052017	135.60						
062017	1160.02						
072017	427.35						
082017	281.07						
092017	594.55						
102017	469.49						
112017	169.14						
122017	95.67						
022018	74.13						
032018	98						
042018	55.92						
052018	240.19						
062018	1197.38						
072018	170.59						
082018	435.98						
092018	555.29						
102018	192.22						
112018	290.29						
122018	220.32						
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
