imageId,Date,mm
196001_00000000000000000000,196001,0.001133005
196002_00000000000000000000,196002,0
196003_00000000000000000000,196003,1.859538914
196004_00000000000000000000,196004,2.240614909
196005_00000000000000000000,196005,19.57660958
196006_00000000000000000000,196006,452.7951525
196007_00000000000000000000,196007,220.3796544
196008_00000000000000000000,196008,346.2488411
196009_00000000000000000000,196009,303.4695396
196010_00000000000000000000,196010,290.18912
196011_00000000000000000000,196011,14.94204261
196012_00000000000000000000,196012,0.923114325
196101_00000000000000000000,196101,1.067456769
196102_00000000000000000000,196102,0.811399261
196103_00000000000000000000,196103,2.646923351
196104_00000000000000000000,196104,6.499633261
196105_00000000000000000000,196105,12.55850809
196106_00000000000000000000,196106,251.1370284
196107_00000000000000000000,196107,307.1043711
196108_00000000000000000000,196108,59.46139978
196109_00000000000000000000,196109,215.3374539
196110_00000000000000000000,196110,270.3673507
196111_00000000000000000000,196111,116.4868454
196112_00000000000000000000,196112,4.317295139
196201_00000000000000000000,196201,0
196202_00000000000000000000,196202,0.792843646
196203_00000000000000000000,196203,1.844732248
196204_00000000000000000000,196204,7.712470578
196205_00000000000000000000,196205,32.77142557
196206_00000000000000000000,196206,442.4700336
196207_00000000000000000000,196207,197.9038034
196208_00000000000000000000,196208,227.0543554
196209_00000000000000000000,196209,360.0162081
196210_00000000000000000000,196210,258.5231
196211_00000000000000000000,196211,1
196212_00000000000000000000,196212,0.127396516
196301_00000000000000000000,196301,0.001133005
196302_00000000000000000000,196302,2.20272042
196303_00000000000000000000,196303,2.646923351
196304_00000000000000000000,196304,3.512722832
196305_00000000000000000000,196305,7.825754186
196306_00000000000000000000,196306,215.7304521
196307_00000000000000000000,196307,282.8379441
196308_00000000000000000000,196308,99.3103875
196309_00000000000000000000,196309,390.6230393
196310_00000000000000000000,196310,30.31751007
196311_00000000000000000000,196311,79.85709511
196312_00000000000000000000,196312,0.496583599
196401_00000000000000000000,196401,0
196402_00000000000000000000,196402,0
196403_00000000000000000000,196403,1.388196939
196404_00000000000000000000,196404,5.699436496
196405_00000000000000000000,196405,8.5746315
196406_00000000000000000000,196406,194.7571725
196407_00000000000000000000,196407,406.6268963
196408_00000000000000000000,196408,174.5176237
196409_00000000000000000000,196409,330.9724471
196410_00000000000000000000,196410,190.0586781
196411_00000000000000000000,196411,2.849076712
196412_00000000000000000000,196412,2.646764691
196501_00000000000000000000,196501,1.026049208
196502_00000000000000000000,196502,0.988551305
196503_00000000000000000000,196503,1
196504_00000000000000000000,196504,1.93341742
196505_00000000000000000000,196505,10.78358653
196506_00000000000000000000,196506,262.60633
196507_00000000000000000000,196507,18.18235225
196508_00000000000000000000,196508,169.6813855
196509_00000000000000000000,196509,349.9470979
196510_00000000000000000000,196510,389.8640578
196511_00000000000000000000,196511,1.112636436
196512_00000000000000000000,196512,0.884412705
